Job_ID,Duration_min,Deadline,Priority,Compatible_Machines,Arrival_Time,Setup_Type
J001,75,163,1,"M05,M07,M08",132,Type_C
J002,60,232,3,"M02,M06,M07",170,Type_A
J003,105,133,2,"M03,M04,M05,M07,M08",56,Type_C
J004,15,232,1,"M02,M05",150,Type_B
J005,45,109,1,"M01,M02,M03,M04,M07",44,Type_B
J006,60,101,1,"M01,M02,M03,M07",68,Type_B
J007,75,67,2,"M03,M04,M06,M08",37,Type_B
J008,75,202,3,"M03,M04,M07",150,Type_C
J009,60,230,2,"M07,M08",151,Type_B
J010,150,94,3,"M02,M05,M08",50,Type_B
J011,75,232,1,"M02,M03",161,Type_A
J012,60,151,3,"M01,M02",107,Type_A
J013,15,218,3,"M04,M05,M07",159,Type_B
J014,45,107,3,"M02,M05,M07",66,Type_C
J015,150,219,2,"M02,M05,M07",153,Type_C
J016,150,72,3,"M02,M07,M08",7,Type_B
J017,150,83,1,"M02,M07,M08",49,Type_B
J018,30,228,2,"M02,M05",163,Type_B
J019,30,232,1,"M01,M02,M03,M05",165,Type_A
J020,105,232,2,"M01,M02,M04,M05,M06",156,Type_A
J021,45,104,2,"M01,M03,M04,M07",55,Type_B
J022,60,232,2,"M03,M04,M07",154,Type_A
J023,90,144,3,"M02,M04,M06,M08",54,Type_A
J024,150,189,1,"M02,M04,M07",87,Type_A
J025,45,206,2,"M02,M08",154,Type_A
J026,30,148,1,"M02,M04,M05,M07",64,Type_B
J027,15,127,2,"M01,M02,M08",64,Type_C
J028,30,101,2,"M02,M05,M08",71,Type_C
J029,75,81,3,"M02,M05,M06",34,Type_B
J030,105,127,2,"M02,M03,M04,M07",50,Type_B
J031,45,208,1,"M05,M07",170,Type_A
J032,45,121,2,"M01,M03,M05,M06",65,Type_A
J033,45,221,1,"M03,M05,M07",141,Type_B
J034,45,179,3,"M01,M02,M06",142,Type_B
J035,120,121,2,"M01,M02,M05",55,Type_A
J036,90,204,1,"M06,M07",160,Type_B
J037,60,106,1,"M02,M04,M05",41,Type_A
