Algorithm,Metric,N,Mean,SD,Median,Min,Max,CI_95_Lower,CI_95_Upper,CI_95_Half
FCFS,Total_Energy_Cost_INR,20,187371.5335,11981.3589,185720.625,166645.04,208592.58,181764.0849,192978.9821,5607.4486
FCFS,Total_Energy_kWh,20,18220.1728,1636.1139,17990.3012,15894.55,21264.5775,17454.4479,18985.8976,765.7249
FCFS,Peak_Hour_Load_kW,20,784.48,0.0,784.48,784.48,784.48,784.48,784.48,0.0
FCFS,Total_Carbon_Emissions_tCO2,20,735.8731,69.8749,725.2529,626.0097,863.2475,703.1706,768.5756,32.7025
FCFS,Average_Waiting_Time_min,20,63.1055,25.3621,54.47,30.45,132.22,51.2357,74.9753,11.8698
FCFS,Makespan_hours,20,47.8875,1.2179,47.875,44.75,49.75,47.3175,48.4575,0.57
FCFS,Machine_Utilization_pct,20,48.217,4.1299,48.125,39.92,55.63,46.2842,50.1498,1.9328
FCFS,On_Time_Completion_pct,20,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0
FCFS,Late_Jobs,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCFS,Total_Delay_min,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPT,Total_Energy_Cost_INR,20,171576.084,9141.3232,169140.58,158431.35,185762.35,167297.813,175854.355,4278.271
SPT,Total_Energy_kWh,20,18311.0161,1661.696,18196.9175,15890.855,21248.915,17533.3184,19088.7138,777.6977
SPT,Peak_Hour_Load_kW,20,762.53,33.2589,784.48,689.48,784.48,746.9643,778.0957,15.5657
SPT,Total_Carbon_Emissions_tCO2,20,799.4963,74.662,793.0425,691.7655,925.3963,764.5534,834.4392,34.9429
SPT,Average_Waiting_Time_min,20,88.717,22.9207,84.915,39.28,139.72,77.9898,99.4442,10.7272
SPT,Makespan_hours,20,49.7375,1.903,49.25,46.25,53.5,48.8469,50.6281,0.8906
SPT,Machine_Utilization_pct,20,46.4175,3.72,46.175,39.92,52.63,44.6765,48.1585,1.741
SPT,On_Time_Completion_pct,20,98.5965,0.8879,98.605,97.0,100.0,98.181,99.012,0.4155
SPT,Late_Jobs,20,2.55,1.6694,2.5,0.0,6.0,1.7687,3.3313,0.7813
SPT,Total_Delay_min,20,498.75,498.3707,352.5,0.0,2145.0,265.5053,731.9947,233.2447
LPT,Total_Energy_Cost_INR,20,189146.075,13613.0018,190560.395,163485.44,209921.61,182774.994,195517.156,6371.081
LPT,Total_Energy_kWh,20,18239.9331,1733.5952,18078.0025,15786.85,21470.4175,17428.5856,19051.2806,811.3475
LPT,Peak_Hour_Load_kW,20,784.48,0.0,784.48,784.48,784.48,784.48,784.48,0.0
LPT,Total_Carbon_Emissions_tCO2,20,730.5484,75.5071,705.8745,640.9335,869.1965,695.21,765.8868,35.3384
LPT,Average_Waiting_Time_min,20,76.3875,33.7731,65.34,27.28,166.72,60.5812,92.1938,15.8063
LPT,Makespan_hours,20,47.725,1.3226,47.875,44.75,49.75,47.106,48.344,0.619
LPT,Machine_Utilization_pct,20,48.3845,4.1446,48.42,40.13,55.63,46.4448,50.3242,1.9397
LPT,On_Time_Completion_pct,20,99.629,0.6289,100.0,98.0,100.0,99.3346,99.9234,0.2944
LPT,Late_Jobs,20,0.7,1.2183,0.0,0.0,4.0,0.1298,1.2702,0.5702
LPT,Total_Delay_min,20,83.25,152.2314,0.0,0.0,555.0,12.0035,154.4965,71.2465
EDD,Total_Energy_Cost_INR,20,183513.597,12424.1363,181673.31,162411.53,201594.79,177698.9222,189328.2718,5814.6748
EDD,Total_Energy_kWh,20,18278.7247,1749.582,17939.7525,15938.9475,21411.86,17459.8952,19097.5543,818.8296
EDD,Peak_Hour_Load_kW,20,782.73,7.8262,784.48,749.48,784.48,779.0672,786.3928,3.6628
EDD,Total_Carbon_Emissions_tCO2,20,758.6573,71.476,737.1363,661.9922,874.9659,725.2055,792.1091,33.4518
EDD,Average_Waiting_Time_min,20,71.2775,21.0128,64.95,37.45,118.88,61.4432,81.1118,9.8343
EDD,Makespan_hours,20,48.1375,1.3966,48.0,44.75,50.5,47.4839,48.7911,0.6536
