Metric,FCFS_Baseline,CP_SAT_Optimized,Improvement
Total Energy Cost (INR),1.815e+05,1.202e+05,61345.13 reduction (33.8% savings)
Peak Grid Load (kW),784.5,454.5,330.00 reduction (42.1% savings)
Makespan (hours),47.25,51.5,+4.25 increase
Machine Utilization (%),45.77,41.99,-3.78 reduction
Average Waiting Time (min),45,112.4,+67.41 increase
Total Idle Time (min),1.23e+04,1.434e+04,+2040.00 increase
Total Delay (min),0,0,+0.00 increase
Late Jobs (count),0,0,+0.00 increase
On-Time Completion (%),100,100,0.00 reduction
Carbon Emissions (tCO2),671.9,483.9,187.98 reduction (28.0% savings)
Power Factor Penalty (INR),3.066e+04,2.043e+04,10229.22 reduction (33.4% savings)
