Job_ID,Machine_ID,Assigned_Machine,Machine_Type,Start_Slot,End_Slot,Start_Time,End_Time,Duration_min,Priority,Delay_min,Energy_Cost_$,Is_Late
J054,M01,M01,CNC_Machining,21,29,05:15,07:15,120,Medium,0,1104.63,0
J069,M01,M01,CNC_Machining,88,89,22:00,22:15,15,Medium,0,103.63,0
J027,M01,M01,CNC_Machining,89,90,22:15,22:30,15,Medium,0,103.63,0
J140,M01,M01,CNC_Machining,90,91,22:30,22:45,15,Medium,0,103.63,0
J153,M01,M01,CNC_Machining,91,93,22:45,23:15,30,Medium,0,191.63,0
J038,M01,M01,CNC_Machining,93,95,23:15,23:45,30,High,0,191.63,0
J032,M01,M01,CNC_Machining,95,98,23:45,24:30,45,Medium,0,279.63,0
J056,M01,M01,CNC_Machining,98,105,24:30,26:15,105,High,0,631.63,0
J035,M01,M01,CNC_Machining,105,113,26:15,28:15,120,Medium,0,719.63,0
J145,M01,M01,CNC_Machining,113,116,28:15,29:00,45,Low,0,279.63,0
J012,M01,M01,CNC_Machining,116,120,29:00,30:00,60,Low,0,367.63,0
J144,M01,M01,CNC_Machining,184,188,46:00,47:00,60,Medium,60,367.63,1
J124,M01,M01,CNC_Machining,188,191,47:00,47:45,45,Medium,0,279.63,0
J019,M01,M01,CNC_Machining,191,193,47:45,48:15,30,High,0,191.63,0
J125,M01,M01,CNC_Machining,193,195,48:15,48:45,30,Low,0,191.63,0
J060,M01,M01,CNC_Machining,195,203,48:45,50:45,120,Medium,0,719.63,0
J084,M01,M01,CNC_Machining,203,206,50:45,51:30,45,Low,0,279.63,0
J139,M01,M01,CNC_Machining,206,216,51:30,54:00,150,Medium,0,895.63,0
J057,M02,M02,Laser_Cutting,5,10,01:15,02:30,75,Medium,0,180.55,0
J130,M02,M02,Laser_Cutting,15,22,03:45,05:30,105,High,0,250.55,0
J090,M02,M02,Laser_Cutting,22,23,05:30,05:45,15,Low,0,40.55,0
J110,M02,M02,Laser_Cutting,23,33,05:45,08:15,150,Low,0,670.55,0
