Job_ID,Machine_ID,Assigned_Machine,Machine_Type,Start_Slot,End_Slot,Start_Time,End_Time,Duration_min,Priority,Delay_min,Energy_Cost_$,Is_Late
J123,M01,M01,CNC_Machining,28,29,07:00,07:15,15,High,0,194.31,0
J106,M01,M01,CNC_Machining,44,48,11:00,12:00,60,Medium,0,1102.89,0
J160,M01,M01,CNC_Machining,49,52,12:15,13:00,45,Medium,0,838.89,0
J159,M01,M01,CNC_Machining,56,58,14:00,14:30,30,Low,0,574.89,0
J125,M01,M01,CNC_Machining,64,66,16:00,16:30,30,High,0,574.89,0
J050,M01,M01,CNC_Machining,67,68,16:45,17:00,15,Medium,0,310.89,0
J071,M01,M01,CNC_Machining,68,70,17:00,17:30,30,High,0,574.89,0
J018,M01,M01,CNC_Machining,72,76,18:00,19:00,60,Medium,0,689.31,0
J008,M01,M01,CNC_Machining,78,82,19:30,20:30,60,Medium,0,689.31,0
J153,M01,M01,CNC_Machining,83,93,20:45,23:15,150,Medium,0,1294.31,0
J176,M01,M01,CNC_Machining,96,106,24:00,26:30,150,Low,0,895.63,0
J104,M01,M01,CNC_Machining,129,133,32:15,33:15,60,High,0,1102.89,0
J111,M01,M01,CNC_Machining,135,139,33:45,34:45,60,Low,0,1102.89,0
J171,M01,M01,CNC_Machining,140,143,35:00,35:45,45,High,0,838.89,0
J038,M01,M01,CNC_Machining,145,148,36:15,37:00,45,Low,0,838.89,0
J120,M01,M01,CNC_Machining,150,158,37:30,39:30,120,Medium,0,2158.89,0
J105,M01,M01,CNC_Machining,159,160,39:45,40:00,15,Medium,0,310.89,0
J152,M01,M01,CNC_Machining,162,170,40:30,42:30,120,Medium,0,1960.89,0
J054,M01,M01,CNC_Machining,172,178,43:00,44:30,90,Medium,0,1019.31,0
J013,M01,M01,CNC_Machining,180,185,45:00,46:15,75,Medium,0,777.31,0
J130,M01,M01,CNC_Machining,187,194,46:45,48:30,105,Medium,0,631.63,0
J156,M02,M02,Laser_Cutting,16,24,04:00,06:00,120,High,0,775.07,0
J080,M02,M02,Laser_Cutting,40,44,10:00,11:00,60,Low,0,1185.21,0
J029,M02,M02,Laser_Cutting,45,47,11:15,11:45,30,Medium,0,615.21,0
J144,M02,M02,Laser_Cutting,49,52,12:15,13:00,45,High,0,900.21,0
J059,M02,M02,Laser_Cutting,56,59,14:00,14:45,45,High,0,900.21,0
J017,M02,M02,Laser_Cutting,60,64,15:00,16:00,60,Medium,0,1185.21,0
J007,M02,M02,Laser_Cutting,66,69,16:30,17:15,45,Medium,0,900.21,0
J164,M02,M02,Laser_Cutting,70,74,17:30,18:30,60,High,0,971.46,0
J070,M02,M02,Laser_Cutting,76,81,19:00,20:15,75,Medium,0,918.88,0
J058,M02,M02,Laser_Cutting,83,91,20:45,22:45,120,Medium,0,1203.88,0
J157,M02,M02,Laser_Cutting,93,103,23:15,25:45,150,Low,0,965.07,0
J023,M02,M02,Laser_Cutting,116,120,29:00,30:00,60,Medium,0,395.07,0
J021,M02,M02,Laser_Cutting,135,145,33:45,36:15,150,High,0,2895.21,0
J101,M02,M02,Laser_Cutting,146,150,36:30,37:30,60,Medium,0,1185.21,0
J074,M02,M02,Laser_Cutting,151,154,37:45,38:30,45,High,0,900.21,0
J109,M02,M02,Laser_Cutting,156,160,39:00,40:00,60,Medium,0,1185.21,0
J047,M02,M02,Laser_Cutting,162,163,40:30,40:45,15,High,0,330.21,0
J173,M02,M02,Laser_Cutting,168,172,42:00,43:00,60,Medium,0,740.76,0
J081,M02,M02,Laser_Cutting,173,181,43:15,45:15,120,High,0,1453.26,0
J131,M03,M03,Welding_Robot,17,25,04:15,06:15,120,High,0,675.0,0
J126,M03,M03,Welding_Robot,31,32,07:45,08:00,15,High,0,158.21,0
J030,M03,M03,Welding_Robot,36,38,09:00,09:30,30,Medium,0,478.14,0
J069,M03,M03,Welding_Robot,40,47,10:00,11:45,105,Medium,0,1603.14,0
J142,M03,M03,Welding_Robot,47,48,11:45,12:00,15,Low,0,253.14,0
J053,M03,M03,Welding_Robot,48,52,12:00,13:00,60,Medium,0,928.14,0
J110,M03,M03,Welding_Robot,53,61,13:15,15:15,120,Low,0,1828.14,0
J063,M03,M03,Welding_Robot,62,65,15:30,16:15,45,Low,0,703.14,0
J093,M03,M03,Welding_Robot,66,67,16:30,16:45,15,Medium,0,253.14,0
J154,M03,M03,Welding_Robot,67,71,16:45,17:45,60,Medium,0,928.14,0
J134,M03,M03,Welding_Robot,72,78,18:00,19:30,90,Medium,0,861.34,0
J141,M03,M03,Welding_Robot,79,85,19:45,21:15,90,Low,0,861.34,0
J137,M03,M03,Welding_Robot,86,88,21:30,22:00,30,Medium,0,298.84,0
J108,M03,M03,Welding_Robot,88,94,22:00,23:30,90,Low,0,459.38,0
J057,M03,M03,Welding_Robot,96,103,24:00,25:45,105,Low,0,534.38,0
J107,M03,M03,Welding_Robot,122,123,30:30,30:45,15,Medium,0,158.21,0
J138,M03,M03,Welding_Robot,134,135,33:30,33:45,15,Low,0,253.14,0
J116,M03,M03,Welding_Robot,136,138,34:00,34:30,30,Medium,0,478.14,0
J091,M03,M03,Welding_Robot,138,140,34:30,35:00,30,High,0,478.14,0
J002,M03,M03,Welding_Robot,142,146,35:30,36:30,60,Medium,0,928.14,0
J096,M03,M03,Welding_Robot,148,158,37:00,39:30,150,Medium,0,2278.14,0
J178,M03,M03,Welding_Robot,160,164,40:00,41:00,60,Low,0,928.14,0
J174,M03,M03,Welding_Robot,165,167,41:15,41:45,30,Medium,0,478.14,0
J122,M03,M03,Welding_Robot,168,174,42:00,43:30,90,Medium,0,861.34,0
J076,M03,M03,Welding_Robot,176,177,44:00,44:15,15,Low,0,158.21,0
J172,M03,M03,Welding_Robot,179,187,44:45,46:45,120,High,0,945.71,0
J031,M03,M03,Welding_Robot,189,195,47:15,48:45,90,Low,0,459.38,0
J088,M04,M04,Heat_Treatment,33,43,08:15,10:45,150,High,0,5340.66,0
J083,M04,M04,Heat_Treatment,49,57,12:15,14:15,120,Medium,0,4290.66,0
J024,M04,M04,Heat_Treatment,58,66,14:30,16:30,120,Medium,0,4290.66,0
J009,M04,M04,Heat_Treatment,67,68,16:45,17:00,15,High,0,615.66,0
J079,M04,M04,Heat_Treatment,72,74,18:00,18:30,30,Low,0,712.91,0
J089,M04,M04,Heat_Treatment,76,80,19:00,20:00,60,High,0,1369.16,0
J098,M04,M04,Heat_Treatment,89,92,22:15,23:00,45,Medium,0,555.22,0
J155,M04,M04,Heat_Treatment,143,144,35:45,36:00,15,High,0,615.66,0
J119,M04,M04,Heat_Treatment,147,151,36:45,37:45,60,High,0,2190.66,0
J167,M04,M04,Heat_Treatment,152,153,38:00,38:15,15,Low,0,615.66,0
J136,M04,M04,Heat_Treatment,155,163,38:45,40:45,120,Medium,0,4290.66,0
J055,M04,M04,Heat_Treatment,165,170,41:15,42:30,75,High,0,2321.91,0
J060,M04,M04,Heat_Treatment,172,173,43:00,43:15,15,Medium,0,384.79,0
J067,M04,M04,Heat_Treatment,174,178,43:30,44:30,60,Medium,0,1369.16,0
J094,M04,M04,Heat_Treatment,179,184,44:45,46:00,75,Medium,0,1697.29,0
J010,M05,M05,Stamping_Press,31,35,07:45,08:45,60,High,0,1732.78,0
J039,M05,M05,Stamping_Press,38,44,09:30,11:00,90,Low,0,2865.45,0
J035,M05,M05,Stamping_Press,45,47,11:15,11:45,30,Medium,0,1005.45,0
J165,M05,M05,Stamping_Press,52,54,13:00,13:30,30,Medium,0,1005.45,0
J056,M05,M05,Stamping_Press,56,63,14:00,15:45,105,Low,0,3330.45,0
J100,M05,M05,Stamping_Press,65,68,16:15,17:00,45,Medium,0,1470.45,0
J046,M05,M05,Stamping_Press,69,72,17:15,18:00,45,High,0,1470.45,0
J001,M05,M05,Stamping_Press,72,79,18:00,19:45,105,Medium,0,2081.53,0
J028,M05,M05,Stamping_Press,94,97,23:30,24:15,45,Medium,0,490.15,0
J015,M05,M05,Stamping_Press,99,103,24:45,25:45,60,Medium,0,645.15,0
J082,M05,M05,Stamping_Press,135,139,33:45,34:45,60,Medium,0,1935.45,0
J003,M05,M05,Stamping_Press,145,149,36:15,37:15,60,Medium,0,1935.45,0
J025,M05,M05,Stamping_Press,150,154,37:30,38:30,60,Medium,0,1935.45,0
J033,M05,M05,Stamping_Press,155,157,38:45,39:15,30,Medium,0,1005.45,0
J117,M05,M05,Stamping_Press,159,160,39:45,40:00,15,Medium,0,540.45,0
J139,M05,M05,Stamping_Press,168,171,42:00,42:45,45,Low,0,919.03,0
J045,M05,M05,Stamping_Press,172,177,43:00,44:15,75,Medium,0,1500.28,0
J077,M05,M05,Stamping_Press,184,192,46:00,48:00,120,Low,0,1265.15,0
J118,M06,M06,Assembly_Line,16,19,04:00,04:45,45,Medium,0,130.31,0
