Job_ID,Machine_ID,Assigned_Machine,Machine_Type,Start_Slot,End_Slot,Start_Time,End_Time,Duration_min,Priority,Delay_min,Energy_Cost_$,Is_Late
J140,M01,M01,CNC_Machining,6,9,01:30,02:15,45,Medium,0,279.63,0
J010,M01,M01,CNC_Machining,33,37,08:15,09:15,60,High,0,1102.89,0
J036,M01,M01,CNC_Machining,38,45,09:30,11:15,105,Medium,0,1894.89,0
J142,M01,M01,CNC_Machining,46,47,11:30,11:45,15,Low,0,310.89,0
J160,M01,M01,CNC_Machining,49,52,12:15,13:00,45,Medium,0,838.89,0
J040,M01,M01,CNC_Machining,52,53,13:00,13:15,15,Medium,0,310.89,0
J159,M01,M01,CNC_Machining,55,57,13:45,14:15,30,Low,0,574.89,0
J050,M01,M01,CNC_Machining,66,67,16:30,16:45,15,Medium,0,310.89,0
J150,M01,M01,CNC_Machining,69,75,17:15,18:45,90,Low,0,1333.89,0
J112,M01,M01,CNC_Machining,77,78,19:15,19:30,15,Medium,0,194.31,0
J145,M01,M01,CNC_Machining,82,85,20:30,21:15,45,Medium,0,524.31,0
J057,M01,M01,CNC_Machining,89,96,22:15,24:00,105,Low,0,631.63,0
J015,M01,M01,CNC_Machining,97,101,24:15,25:15,60,Medium,0,367.63,0
J097,M01,M01,CNC_Machining,111,119,27:45,29:45,120,High,0,719.63,0
J111,M01,M01,CNC_Machining,129,133,32:15,33:15,60,Low,0,1102.89,0
J180,M01,M01,CNC_Machining,133,137,33:15,34:15,60,Medium,0,1102.89,0
J171,M01,M01,CNC_Machining,139,142,34:45,35:30,45,High,0,838.89,0
J124,M01,M01,CNC_Machining,143,146,35:45,36:30,45,Medium,0,838.89,0
J099,M01,M01,CNC_Machining,147,149,36:45,37:15,30,Low,0,574.89,0
J119,M01,M01,CNC_Machining,150,154,37:30,38:30,60,High,0,1102.89,0
J105,M01,M01,CNC_Machining,154,155,38:30,38:45,15,Medium,0,310.89,0
J152,M01,M01,CNC_Machining,157,165,39:15,41:15,120,Medium,0,2158.89,0
J034,M01,M01,CNC_Machining,166,169,41:30,42:15,45,Medium,0,739.89,0
J054,M01,M01,CNC_Machining,171,177,42:45,44:15,90,Medium,0,1019.31,0
J132,M01,M01,CNC_Machining,181,185,45:15,46:15,60,Medium,0,612.31,0
J095,M02,M02,Laser_Cutting,17,19,04:15,04:45,30,Medium,0,205.07,0
J126,M02,M02,Laser_Cutting,30,31,07:30,07:45,15,High,0,206.38,0
J080,M02,M02,Laser_Cutting,39,43,09:45,10:45,60,Low,0,1185.21,0
J029,M02,M02,Laser_Cutting,44,46,11:00,11:30,30,Medium,0,615.21,0
J143,M02,M02,Laser_Cutting,49,56,12:15,14:00,105,Low,0,2040.21,0
J092,M02,M02,Laser_Cutting,57,61,14:15,15:15,60,Medium,0,1185.21,0
J125,M02,M02,Laser_Cutting,63,65,15:45,16:15,30,High,0,615.21,0
J164,M02,M02,Laser_Cutting,66,70,16:30,17:30,60,High,0,1185.21,0
J008,M02,M02,Laser_Cutting,70,74,17:30,18:30,60,Medium,0,971.46,0
J061,M02,M02,Laser_Cutting,75,79,18:45,19:45,60,High,0,740.76,0
J163,M02,M02,Laser_Cutting,82,84,20:30,21:00,30,Low,0,384.51,0
J137,M02,M02,Laser_Cutting,86,88,21:30,22:00,30,Medium,0,384.51,0
J157,M02,M02,Laser_Cutting,88,98,22:00,24:30,150,Low,0,965.07,0
J023,M02,M02,Laser_Cutting,116,120,29:00,30:00,60,Medium,0,395.07,0
J107,M02,M02,Laser_Cutting,121,122,30:15,30:30,15,Medium,0,206.38,0
J161,M02,M02,Laser_Cutting,126,129,31:30,32:15,45,Low,0,669.51,0
J091,M02,M02,Laser_Cutting,137,139,34:15,34:45,30,High,0,615.21,0
J096,M02,M02,Laser_Cutting,142,152,35:30,38:00,150,Medium,0,2895.21,0
J109,M02,M02,Laser_Cutting,153,157,38:15,39:15,60,Medium,0,1185.21,0
J122,M02,M02,Laser_Cutting,159,165,39:45,41:15,90,Medium,0,1755.21,0
J076,M02,M02,Laser_Cutting,169,170,42:15,42:30,15,Low,0,206.38,0
J066,M02,M02,Laser_Cutting,171,172,42:45,43:00,15,Medium,0,206.38,0
J067,M02,M02,Laser_Cutting,172,176,43:00,44:00,60,Medium,0,740.76,0
J045,M02,M02,Laser_Cutting,177,182,44:15,45:30,75,Medium,0,918.88,0
J090,M02,M02,Laser_Cutting,191,201,47:45,50:15,150,Low,0,965.07,0
J084,M03,M03,Welding_Robot,5,6,01:15,01:30,15,High,0,84.38,0
J069,M03,M03,Welding_Robot,40,47,10:00,11:45,105,Medium,0,1603.14,0
J073,M03,M03,Welding_Robot,51,61,12:45,15:15,150,Medium,0,2278.14,0
J100,M03,M03,Welding_Robot,62,65,15:30,16:15,45,Medium,0,703.14,0
J093,M03,M03,Welding_Robot,65,66,16:15,16:30,15,Medium,0,253.14,0
J141,M03,M03,Welding_Robot,69,75,17:15,18:45,90,Low,0,1125.02,0
J056,M03,M03,Welding_Robot,77,84,19:15,21:00,105,Low,0,1001.96,0
J098,M03,M03,Welding_Robot,89,92,22:15,23:00,45,Medium,0,234.38,0
J176,M03,M03,Welding_Robot,93,103,23:15,25:45,150,Low,0,759.38,0
J075,M03,M03,Welding_Robot,109,115,27:15,28:45,90,High,0,459.38,0
J062,M03,M03,Welding_Robot,115,117,28:45,29:15,30,Medium,0,159.38,0
J027,M03,M03,Welding_Robot,127,131,31:45,32:45,60,Medium,0,833.21,0
J129,M03,M03,Welding_Robot,134,135,33:30,33:45,15,Medium,0,253.14,0
J166,M03,M03,Welding_Robot,135,141,33:45,35:15,90,Low,0,1378.14,0
J155,M03,M03,Welding_Robot,144,145,36:00,36:15,15,High,0,253.14,0
J120,M03,M03,Welding_Robot,146,154,36:30,38:30,120,Medium,0,1828.14,0
J044,M03,M03,Welding_Robot,154,162,38:30,40:30,120,Low,0,1828.14,0
J174,M03,M03,Welding_Robot,163,165,40:45,41:15,30,Medium,0,478.14,0
J022,M03,M03,Welding_Robot,167,172,41:45,43:00,75,Medium,0,815.64,0
J173,M03,M03,Welding_Robot,173,177,43:15,44:15,60,Medium,0,580.09,0
