Job_ID,Machine_ID,Assigned_Machine,Machine_Type,Start_Slot,End_Slot,Start_Time,End_Time,Duration_min,Priority,Delay_min,Energy_Cost_$,Is_Late
J054,M01,M01,CNC_Machining,21,29,05:15,07:15,120,Medium,0,1104.63,0
J080,M01,M01,CNC_Machining,33,37,08:15,09:15,60,Medium,0,1102.89,0
J077,M01,M01,CNC_Machining,40,42,10:00,10:30,30,Low,0,574.89,0
J131,M01,M01,CNC_Machining,44,45,11:00,11:15,15,Low,0,310.89,0
J061,M01,M01,CNC_Machining,45,47,11:15,11:45,30,Medium,0,574.89,0
J056,M01,M01,CNC_Machining,53,60,13:15,15:00,105,High,0,1894.89,0
J035,M01,M01,CNC_Machining,62,70,15:30,17:30,120,Medium,0,2158.89,0
J069,M01,M01,CNC_Machining,70,71,17:30,17:45,15,Medium,0,310.89,0
J006,M01,M01,CNC_Machining,72,76,18:00,19:00,60,High,0,689.31,0
J138,M01,M01,CNC_Machining,77,79,19:15,19:45,30,Medium,0,359.31,0
J074,M01,M01,CNC_Machining,89,90,22:15,22:30,15,Medium,0,103.63,0
J145,M01,M01,CNC_Machining,103,106,25:45,26:30,45,Low,0,279.63,0
J012,M01,M01,CNC_Machining,108,112,27:00,28:00,60,Low,0,367.63,0
J113,M01,M01,CNC_Machining,135,139,33:45,34:45,60,Medium,0,1102.89,0
J070,M01,M01,CNC_Machining,142,147,35:30,36:45,75,Medium,0,1366.89,0
J144,M01,M01,CNC_Machining,148,152,37:00,38:00,60,Medium,0,1102.89,0
J147,M01,M01,CNC_Machining,153,155,38:15,38:45,30,Medium,0,574.89,0
J084,M01,M01,CNC_Machining,155,158,38:45,39:30,45,Low,0,838.89,0
J020,M01,M01,CNC_Machining,158,165,39:30,41:15,105,Medium,0,1894.89,0
J060,M01,M01,CNC_Machining,167,175,41:45,43:45,120,Medium,0,1465.89,0
J150,M01,M01,CNC_Machining,175,185,43:45,46:15,150,High,0,1602.31,0
J110,M02,M02,Laser_Cutting,23,33,05:45,08:15,150,Low,0,670.55,0
J078,M02,M02,Laser_Cutting,38,46,09:30,11:30,120,Medium,0,856.65,0
J127,M02,M02,Laser_Cutting,46,48,11:30,12:00,30,High,0,226.65,0
J010,M02,M02,Laser_Cutting,52,62,13:00,15:30,150,Low,0,1066.65,0
J041,M02,M02,Laser_Cutting,63,67,15:45,16:45,60,Low,0,436.65,0
J119,M02,M02,Laser_Cutting,69,73,17:15,18:15,60,Medium,0,397.28,0
J014,M02,M02,Laser_Cutting,74,77,18:30,19:15,45,Low,0,207.28,0
J065,M02,M02,Laser_Cutting,79,81,19:45,20:15,30,Medium,0,141.66,0
J067,M02,M02,Laser_Cutting,133,134,33:15,33:30,15,High,0,121.65,0
J116,M02,M02,Laser_Cutting,141,142,35:15,35:30,15,Medium,0,121.65,0
J112,M02,M02,Laser_Cutting,142,149,35:30,37:15,105,Medium,0,751.65,0
J047,M02,M02,Laser_Cutting,149,152,37:15,38:00,45,Medium,0,331.65,0
J004,M02,M02,Laser_Cutting,152,153,38:00,38:15,15,High,0,121.65,0
J101,M02,M02,Laser_Cutting,154,157,38:30,39:15,45,High,0,331.65,0
J015,M02,M02,Laser_Cutting,159,169,39:45,42:15,150,Medium,0,1027.28,0
J086,M02,M02,Laser_Cutting,169,170,42:15,42:30,15,Medium,0,76.03,0
J002,M02,M02,Laser_Cutting,172,176,43:00,44:00,60,Low,0,272.91,0
J057,M03,M03,Welding_Robot,5,10,01:15,02:30,75,Medium,0,896.88,0
J154,M03,M03,Welding_Robot,33,34,08:15,08:30,15,Low,0,590.64,0
J007,M03,M03,Welding_Robot,38,43,09:30,10:45,75,Medium,0,2690.64,0
J046,M03,M03,Welding_Robot,44,48,11:00,12:00,60,Medium,0,2165.64,0
J030,M03,M03,Welding_Robot,52,59,13:00,14:45,105,Medium,0,3740.64,0
J140,M03,M03,Welding_Robot,59,60,14:45,15:00,15,Medium,0,590.64,0
J082,M03,M03,Welding_Robot,61,63,15:15,15:45,30,Medium,0,1115.64,0
