Job_ID,Machine_ID,Assigned_Machine,Machine_Type,Start_Slot,End_Slot,Start_Time,End_Time,Duration_min,Priority,Delay_min,Energy_Cost_$,Is_Late
J054,M01,M01,CNC_Machining,21,29,05:15,07:15,120,Medium,0,1104.63,0
J141,M01,M01,CNC_Machining,34,40,08:30,10:00,90,Medium,0,1630.89,0
J077,M01,M01,CNC_Machining,40,42,10:00,10:30,30,Low,0,574.89,0
J131,M01,M01,CNC_Machining,44,45,11:00,11:15,15,Low,0,310.89,0
J061,M01,M01,CNC_Machining,45,47,11:15,11:45,30,Medium,0,574.89,0
J127,M01,M01,CNC_Machining,49,51,12:15,12:45,30,High,0,574.89,0
J056,M01,M01,CNC_Machining,53,60,13:15,15:00,105,High,0,1894.89,0
J137,M01,M01,CNC_Machining,62,72,15:30,18:00,150,High,0,2686.89,0
J119,M01,M01,CNC_Machining,73,77,18:15,19:15,60,Medium,0,689.31,0
J069,M01,M01,CNC_Machining,79,80,19:45,20:00,15,Medium,0,194.31,0
J074,M01,M01,CNC_Machining,89,90,22:15,22:30,15,Medium,0,103.63,0
J145,M01,M01,CNC_Machining,103,106,25:45,26:30,45,Low,0,279.63,0
J012,M01,M01,CNC_Machining,108,112,27:00,28:00,60,Low,0,367.63,0
J113,M01,M01,CNC_Machining,135,139,33:45,34:45,60,Medium,0,1102.89,0
J070,M01,M01,CNC_Machining,142,147,35:30,36:45,75,Medium,0,1366.89,0
J144,M01,M01,CNC_Machining,148,152,37:00,38:00,60,Medium,0,1102.89,0
J111,M01,M01,CNC_Machining,153,155,38:15,38:45,30,Low,0,574.89,0
J084,M01,M01,CNC_Machining,155,158,38:45,39:30,45,Low,0,838.89,0
J020,M01,M01,CNC_Machining,159,166,39:45,41:30,105,Medium,0,1894.89,0
J019,M01,M01,CNC_Machining,166,168,41:30,42:00,30,High,0,574.89,0
J150,M01,M01,CNC_Machining,175,185,43:45,46:15,150,High,0,1602.31,0
J057,M02,M02,Laser_Cutting,5,10,01:15,02:30,75,Medium,0,180.55,0
J071,M02,M02,Laser_Cutting,29,34,07:15,08:30,75,Medium,0,417.28,0
J029,M02,M02,Laser_Cutting,36,41,09:00,10:15,75,Low,0,541.65,0
J062,M02,M02,Laser_Cutting,42,45,10:30,11:15,45,Medium,0,331.65,0
