timestamp,predicted_kWh_p10,predicted_kWh_p50,predicted_kWh_p90,predicted_CO2_p50,predicted_CO2_p10,predicted_CO2_p90,predicted_PF_p50,predicted_PF_p50_decimal,hour,day_of_week,is_weekend,Load_Type,predicted_kWh
2019-01-01 00:00:00,3.552,3.693,7.909,2.5e-05,0.0,0.001937,77.617,0.776173,0,Tuesday,0,Light_Load,3.693
2019-01-01 00:15:00,3.522,3.584,7.932,2.7e-05,0.0,0.001937,78.081,0.780806,0,Tuesday,0,Light_Load,3.584
2019-01-01 00:30:00,3.478,3.565,7.904,2.7e-05,0.0,0.001937,77.725,0.777253,0,Tuesday,0,Light_Load,3.565
2019-01-01 00:45:00,3.431,3.519,7.834,1e-05,0.0,0.001937,77.735,0.777345,0,Tuesday,0,Light_Load,3.519
2019-01-01 01:00:00,3.376,3.489,7.814,2.7e-05,0.0,0.001937,77.745,0.777449,1,Tuesday,0,Light_Load,3.489
2019-01-01 01:15:00,3.339,3.411,7.755,2.7e-05,0.0,0.001937,77.735,0.777345,1,Tuesday,0,Light_Load,3.411
2019-01-01 01:30:00,3.256,3.358,7.733,2.7e-05,0.0,0.001937,77.325,0.773254,1,Tuesday,0,Light_Load,3.358
2019-01-01 01:45:00,3.173,3.344,7.7,2.7e-05,0.0,0.001937,77.317,0.773168,1,Tuesday,0,Light_Load,3.344
2019-01-01 02:00:00,3.192,3.285,7.7,2.7e-05,0.0,0.001937,77.342,0.773425,2,Tuesday,0,Light_Load,3.285
2019-01-01 02:15:00,3.129,3.241,7.695,2.7e-05,0.0,0.001937,77.342,0.773425,2,Tuesday,0,Light_Load,3.241
2019-01-01 02:30:00,3.121,3.217,7.673,2.7e-05,0.0,0.001937,77.317,0.773166,2,Tuesday,0,Light_Load,3.217
2019-01-01 02:45:00,3.103,3.223,7.659,2.7e-05,0.0,0.001937,77.2,0.772001,2,Tuesday,0,Light_Load,3.223
2019-01-01 03:00:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,76.863,0.768634,3,Tuesday,0,Light_Load,3.223
2019-01-01 03:15:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,76.863,0.768634,3,Tuesday,0,Light_Load,3.223
2019-01-01 03:30:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,76.863,0.768634,3,Tuesday,0,Light_Load,3.223
2019-01-01 03:45:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,76.863,0.768634,3,Tuesday,0,Light_Load,3.223
2019-01-01 04:00:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,77.227,0.772271,4,Tuesday,0,Light_Load,3.223
2019-01-01 04:15:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,77.227,0.772271,4,Tuesday,0,Light_Load,3.223
2019-01-01 04:30:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,77.227,0.772271,4,Tuesday,0,Light_Load,3.223
2019-01-01 04:45:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,77.227,0.772271,4,Tuesday,0,Light_Load,3.223
2019-01-01 05:00:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,77.227,0.772271,5,Tuesday,0,Light_Load,3.223
2019-01-01 05:15:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,77.227,0.772271,5,Tuesday,0,Light_Load,3.223
2019-01-01 05:30:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,77.227,0.772271,5,Tuesday,0,Light_Load,3.223
2019-01-01 05:45:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,77.227,0.772271,5,Tuesday,0,Light_Load,3.223
2019-01-01 06:00:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,77.227,0.772271,6,Tuesday,0,Medium_Load,3.223
2019-01-01 06:15:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,77.227,0.772271,6,Tuesday,0,Medium_Load,3.223
2019-01-01 06:30:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,77.227,0.772271,6,Tuesday,0,Medium_Load,3.223
2019-01-01 06:45:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,77.227,0.772271,6,Tuesday,0,Medium_Load,3.223
2019-01-01 07:00:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,77.226,0.772258,7,Tuesday,0,Medium_Load,3.223
2019-01-01 07:15:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,77.226,0.772258,7,Tuesday,0,Medium_Load,3.223
2019-01-01 07:30:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,77.226,0.772258,7,Tuesday,0,Medium_Load,3.223
2019-01-01 07:45:00,3.1,3.223,7.639,2.7e-05,0.0,0.001937,77.226,0.772258,7,Tuesday,0,Medium_Load,3.223
2019-01-01 08:00:00,3.1,3.419,7.639,0.000174,0.0,0.002055,77.236,0.77236,8,Tuesday,0,Maximum_Load,3.419
2019-01-01 08:15:00,3.249,3.626,7.666,0.000158,0.0,0.002055,77.857,0.778568,8,Tuesday,0,Maximum_Load,3.626
2019-01-01 08:30:00,3.355,3.788,7.692,0.000158,0.0,0.002055,78.001,0.780007,8,Tuesday,0,Maximum_Load,3.788
2019-01-01 08:45:00,3.452,3.985,7.825,0.000158,0.0,0.002055,78.233,0.78233,8,Tuesday,0,Maximum_Load,3.985
2019-01-01 09:00:00,3.549,4.093,8.018,0.000158,6e-05,0.002495,77.662,0.776619,9,Tuesday,0,Maximum_Load,4.093
2019-01-01 09:15:00,3.679,4.151,8.081,0.00018,6e-05,0.002495,78.551,0.785509,9,Tuesday,0,Maximum_Load,4.151
2019-01-01 09:30:00,3.774,4.215,8.213,0.000137,6e-05,0.002495,78.9,0.788996,9,Tuesday,0,Maximum_Load,4.215
2019-01-01 09:45:00,4.091,4.365,8.522,0.001474,6e-05,0.002495,78.9,0.788996,9,Tuesday,0,Maximum_Load,4.365
2019-01-01 10:00:00,4.248,4.614,8.603,0.001588,6e-05,0.002526,79.131,0.791313,10,Tuesday,0,Maximum_Load,4.614
2019-01-01 10:15:00,4.77,4.825,8.652,0.002513,6e-05,0.002526,79.335,0.793347,10,Tuesday,0,Maximum_Load,4.825
2019-01-01 10:30:00,4.991,5.104,8.908,0.002687,6e-05,0.002687,79.437,0.794373,10,Tuesday,0,Maximum_Load,5.104
2019-01-01 10:45:00,5.211,5.561,9.218,0.002731,6e-05,0.002731,79.493,0.794929,10,Tuesday,0,Maximum_Load,5.561
2019-01-01 11:00:00,5.528,9.19,10.303,0.003957,0.000108,0.003957,79.557,0.795572,11,Tuesday,0,Maximum_Load,9.19
2019-01-01 11:15:00,9.661,13.323,15.476,0.005122,0.000201,0.009078,81.979,0.819791,11,Tuesday,0,Maximum_Load,13.323
2019-01-01 11:30:00,13.251,18.34,21.073,0.014992,0.001031,0.014992,82.987,0.829871,11,Tuesday,0,Maximum_Load,18.34
2019-01-01 11:45:00,19.18,21.309,25.341,0.017784,0.002005,0.017784,84.253,0.842528,11,Tuesday,0,Maximum_Load,21.309
2019-01-01 12:00:00,15.011,22.037,23.899,0.017112,0.000136,0.017112,84.419,0.844194,12,Tuesday,0,Maximum_Load,22.037
2019-01-01 12:15:00,10.799,23.867,26.2,0.015945,0.001121,0.015945,84.314,0.843143,12,Tuesday,0,Maximum_Load,23.867
2019-01-01 12:30:00,12.244,25.963,27.034,0.015954,0.00126,0.015954,84.419,0.844188,12,Tuesday,0,Maximum_Load,25.963
2019-01-01 12:45:00,15.365,27.21,31.907,0.015612,0.00544,0.015612,84.326,0.843262,12,Tuesday,0,Maximum_Load,27.21
2019-01-01 13:00:00,20.907,27.554,32.725,0.013422,0.003408,0.013961,84.362,0.843618,13,Tuesday,0,Maximum_Load,27.554
2019-01-01 13:15:00,19.542,28.603,33.475,0.013713,0.003432,0.014014,84.346,0.843464,13,Tuesday,0,Maximum_Load,28.603
2019-01-01 13:30:00,22.464,29.073,34.112,0.013432,0.002905,0.014071,84.362,0.843618,13,Tuesday,0,Maximum_Load,29.073
2019-01-01 13:45:00,26.685,30.485,35.387,0.012193,0.002916,0.014343,84.392,0.843918,13,Tuesday,0,Maximum_Load,30.485
2019-01-01 14:00:00,29.025,31.439,35.769,0.010911,0.002858,0.014463,84.588,0.845878,14,Tuesday,0,Maximum_Load,31.439
2019-01-01 14:15:00,30.594,31.994,36.742,0.011219,0.00274,0.015499,84.603,0.846029,14,Tuesday,0,Maximum_Load,31.994
2019-01-01 14:30:00,30.121,32.16,36.956,0.012573,0.002631,0.015864,84.583,0.845832,14,Tuesday,0,Maximum_Load,32.16
2019-01-01 14:45:00,30.048,32.534,37.296,0.017857,0.002547,0.018097,84.883,0.848831,14,Tuesday,0,Maximum_Load,32.534
2019-01-01 15:00:00,30.403,33.358,37.749,0.018707,0.002694,0.019516,84.958,0.849581,15,Tuesday,0,Maximum_Load,33.358
2019-01-01 15:15:00,30.906,33.743,37.797,0.018723,0.002779,0.019661,84.95,0.849505,15,Tuesday,0,Maximum_Load,33.743
