Job_ID,Machine_ID,Assigned_Machine,Machine_Type,Start_Slot,End_Slot,Start_Time,End_Time,Duration_min,Priority,Delay_min,Energy_Cost_$,Is_Late
J054,M01,M01,CNC_Machining,21,29,05:15,07:15,120,Medium,0,1104.63,0
J133,M01,M01,CNC_Machining,36,41,09:00,10:15,75,Medium,0,1366.89,0
J077,M01,M01,CNC_Machining,43,45,10:45,11:15,30,Low,0,574.89,0
J061,M01,M01,CNC_Machining,47,49,11:45,12:15,30,Medium,0,574.89,0
J137,M01,M01,CNC_Machining,54,64,13:30,16:00,150,High,0,2686.89,0
J149,M01,M01,CNC_Machining,65,69,16:15,17:15,60,Low,0,1102.89,0
J136,M01,M01,CNC_Machining,69,73,17:15,18:15,60,Low,0,1003.89,0
J006,M01,M01,CNC_Machining,75,79,18:45,19:45,60,High,0,689.31,0
J138,M01,M01,CNC_Machining,80,82,20:00,20:30,30,Medium,0,359.31,0
J152,M01,M01,CNC_Machining,82,83,20:30,20:45,15,Medium,0,194.31,0
J038,M01,M01,CNC_Machining,88,90,22:00,22:30,30,High,0,191.63,0
J074,M01,M01,CNC_Machining,91,92,22:45,23:00,15,Medium,0,103.63,0
J012,M01,M01,CNC_Machining,109,113,27:15,28:15,60,Low,0,367.63,0
J113,M01,M01,CNC_Machining,135,139,33:45,34:45,60,Medium,0,1102.89,0
J070,M01,M01,CNC_Machining,143,148,35:45,37:00,75,Medium,0,1366.89,0
J144,M01,M01,CNC_Machining,149,153,37:15,38:15,60,Medium,0,1102.89,0
J111,M01,M01,CNC_Machining,153,155,38:15,38:45,30,Low,0,574.89,0
J084,M01,M01,CNC_Machining,155,158,38:45,39:30,45,Low,0,838.89,0
J139,M01,M01,CNC_Machining,158,168,39:30,42:00,150,Medium,0,2686.89,0
J117,M01,M01,CNC_Machining,187,190,46:45,47:30,45,High,0,279.63,0
J016,M02,M02,Laser_Cutting,7,17,01:45,04:15,150,Low,0,355.55,0
J071,M02,M02,Laser_Cutting,30,35,07:30,08:45,75,Medium,0,456.66,0
J029,M02,M02,Laser_Cutting,35,40,08:45,10:00,75,Low,0,541.65,0
J062,M02,M02,Laser_Cutting,40,43,10:00,10:45,45,Medium,0,331.65,0
J037,M02,M02,Laser_Cutting,43,47,10:45,11:45,60,High,0,436.65,0
J123,M02,M02,Laser_Cutting,47,48,11:45,12:00,15,Low,0,121.65,0
J127,M02,M02,Laser_Cutting,49,51,12:15,12:45,30,High,0,226.65,0
J010,M02,M02,Laser_Cutting,51,61,12:45,15:15,150,Low,0,1066.65,0
J041,M02,M02,Laser_Cutting,62,66,15:30,16:30,60,Low,0,436.65,0
J119,M02,M02,Laser_Cutting,66,70,16:30,17:30,60,Medium,0,436.65,0
J135,M02,M02,Laser_Cutting,70,80,17:30,20:00,150,High,0,751.65,0
J065,M02,M02,Laser_Cutting,81,83,20:15,20:45,30,Medium,0,141.66,0
J067,M02,M02,Laser_Cutting,133,134,33:15,33:30,15,High,0,121.65,0
J121,M02,M02,Laser_Cutting,135,145,33:45,36:15,150,High,0,1066.65,0
J112,M02,M02,Laser_Cutting,147,154,36:45,38:30,105,Medium,0,751.65,0
J015,M02,M02,Laser_Cutting,154,164,38:30,41:00,150,Medium,0,1066.65,0
J049,M02,M02,Laser_Cutting,165,170,41:15,42:30,75,Medium,0,462.9,0
J011,M02,M02,Laser_Cutting,172,177,43:00,44:15,75,High,0,338.53,0
J057,M03,M03,Welding_Robot,5,10,01:15,02:30,75,Medium,0,896.88,0
J130,M03,M03,Welding_Robot,15,22,03:45,05:30,105,High,0,1246.88,0
J007,M03,M03,Welding_Robot,38,43,09:30,10:45,75,Medium,0,2690.64,0
J046,M03,M03,Welding_Robot,44,48,11:00,12:00,60,Medium,0,2165.64,0
J030,M03,M03,Welding_Robot,51,58,12:45,14:30,105,Medium,0,3740.64,0
J140,M03,M03,Welding_Robot,60,61,15:00,15:15,15,Medium,0,590.64,0
J096,M03,M03,Welding_Robot,61,71,15:15,17:45,150,Medium,0,5315.64,0
J122,M03,M03,Welding_Robot,73,77,18:15,19:15,60,Low,0,1353.52,0
J100,M03,M03,Welding_Robot,78,81,19:30,20:15,45,Medium,0,1025.4,0
J058,M03,M03,Welding_Robot,129,133,32:15,33:15,60,Medium,0,2165.64,0
J116,M03,M03,Welding_Robot,141,142,35:15,35:30,15,Medium,0,590.64,0
J033,M03,M03,Welding_Robot,142,145,35:30,36:15,45,High,0,1640.64,0
J142,M03,M03,Welding_Robot,146,150,36:30,37:30,60,Medium,0,2165.64,0
J008,M03,M03,Welding_Robot,152,157,38:00,39:15,75,Low,0,2690.64,0
J146,M03,M03,Welding_Robot,157,162,39:15,40:30,75,Medium,0,2690.64,0
J128,M03,M03,Welding_Robot,164,166,41:00,41:30,30,Medium,0,1115.64,0
J060,M03,M03,Welding_Robot,167,175,41:45,43:45,120,Medium,0,2887.52,0
J093,M03,M03,Welding_Robot,183,187,45:45,46:45,60,High,0,894.15,0
J090,M04,M04,Heat_Treatment,21,22,05:15,05:30,15,Low,0,87.95,0
J114,M04,M04,Heat_Treatment,23,26,05:45,06:30,45,Medium,0,369.2,0
J092,M04,M04,Heat_Treatment,29,35,07:15,08:45,90,High,0,1121.16,0
J078,M04,M04,Heat_Treatment,36,44,09:00,11:00,120,Medium,0,1838.85,0
J108,M04,M04,Heat_Treatment,47,57,11:45,14:15,150,Medium,0,2288.85,0
J157,M04,M04,Heat_Treatment,59,67,14:45,16:45,120,Low,0,1838.85,0
J129,M04,M04,Heat_Treatment,69,73,17:15,18:15,60,Medium,0,854.48,0
J021,M04,M04,Heat_Treatment,75,78,18:45,19:30,45,Medium,0,446.16,0
J026,M04,M04,Heat_Treatment,79,81,19:45,20:15,30,High,0,305.53,0
J155,M04,M04,Heat_Treatment,86,90,21:30,22:30,60,Medium,0,455.53,0
J105,M04,M04,Heat_Treatment,106,114,26:30,28:30,120,High,0,612.95,0
J118,M04,M04,Heat_Treatment,121,125,30:15,31:15,60,Medium,0,586.78,0
J048,M04,M04,Heat_Treatment,132,134,33:00,33:30,30,Medium,0,488.85,0
J042,M04,M04,Heat_Treatment,134,138,33:30,34:30,60,Medium,0,938.85,0
J087,M04,M04,Heat_Treatment,139,140,34:45,35:00,15,Medium,0,263.85,0
J068,M04,M04,Heat_Treatment,140,150,35:00,37:30,150,Medium,0,2288.85,0
J151,M04,M04,Heat_Treatment,150,156,37:30,39:00,90,Medium,0,1388.85,0
J073,M04,M04,Heat_Treatment,157,164,39:15,41:00,105,Medium,0,1613.85,0
J109,M04,M04,Heat_Treatment,166,172,41:30,43:00,90,Low,0,1051.35,0
J086,M04,M04,Heat_Treatment,174,175,43:30,43:45,15,Medium,0,164.91,0
J064,M04,M04,Heat_Treatment,180,183,45:00,45:45,45,Medium,0,446.16,0
