Job_ID,Machine_ID,Assigned_Machine,Machine_Type,Start_Slot,End_Slot,Start_Time,End_Time,Duration_min,Priority,Delay_min,Energy_Cost_$,Is_Late
J054,M01,M01,CNC_Machining,21,29,05:15,07:15,120,Medium,0,1104.63,0
J141,M01,M01,CNC_Machining,34,40,08:30,10:00,90,Medium,0,1630.89,0
J005,M01,M01,CNC_Machining,45,48,11:15,12:00,45,High,0,838.89,0
J056,M01,M01,CNC_Machining,52,59,13:00,14:45,105,High,0,1894.89,0
J021,M01,M01,CNC_Machining,60,63,15:00,15:45,45,Medium,0,838.89,0
J157,M01,M01,CNC_Machining,64,72,16:00,18:00,120,Low,0,2158.89,0
J069,M01,M01,CNC_Machining,73,74,18:15,18:30,15,Medium,0,194.31,0
J119,M01,M01,CNC_Machining,74,78,18:30,19:30,60,Medium,0,689.31,0
J074,M01,M01,CNC_Machining,89,90,22:15,22:30,15,Medium,0,103.63,0
J145,M01,M01,CNC_Machining,103,106,25:45,26:30,45,Low,0,279.63,0
J012,M01,M01,CNC_Machining,108,112,27:00,28:00,60,Low,0,367.63,0
J113,M01,M01,CNC_Machining,135,139,33:45,34:45,60,Medium,0,1102.89,0
J125,M01,M01,CNC_Machining,143,145,35:45,36:15,30,Low,0,574.89,0
J034,M01,M01,CNC_Machining,147,150,36:45,37:30,45,Low,0,838.89,0
J147,M01,M01,CNC_Machining,151,153,37:45,38:15,30,Medium,0,574.89,0
J111,M01,M01,CNC_Machining,153,155,38:15,38:45,30,Low,0,574.89,0
J103,M01,M01,CNC_Machining,157,158,39:15,39:30,15,Low,0,310.89,0
J084,M01,M01,CNC_Machining,160,163,40:00,40:45,45,Low,0,838.89,0
J020,M01,M01,CNC_Machining,164,171,41:00,42:45,105,Medium,0,1597.89,0
J060,M01,M01,CNC_Machining,172,180,43:00,45:00,120,Medium,0,1349.31,0
J160,M01,M01,CNC_Machining,191,192,47:45,48:00,15,Medium,0,103.63,0
J057,M02,M02,Laser_Cutting,5,10,01:15,02:30,75,Medium,0,180.55,0
J071,M02,M02,Laser_Cutting,29,34,07:15,08:30,75,Medium,0,417.28,0
J078,M02,M02,Laser_Cutting,37,45,09:15,11:15,120,Medium,0,856.65,0
J043,M02,M02,Laser_Cutting,46,56,11:30,14:00,150,Medium,0,1066.65,0
