Total_Energy_Cost_INR,Total_Energy_kWh,Peak_Hour_Load_kW,Makespan_min,Makespan_hours,Machine_Utilization_pct,Average_Waiting_Time_min,Total_Idle_Time_min,Total_Delay_min,Late_Jobs,On_Time_Completion_pct,Total_Carbon_Emissions_tCO2,Total_Power_Factor_Penalty_INR,Algorithm,Seed,N_Jobs,N_Machines,Runtime_s,Solver_Status,Optimality_Proven,Objective_Value,Best_Bound,Warm_Start
181528.39,16944.52,784.48,2835.0,47.25,45.77,45.0,12300.0,0.0,0,100.0,671.863007,30660.46,FCFS,42,160,8,0.004,GREEDY,False,,,
164128.32,16840.5625,784.48,2880.0,48.0,45.05,78.56,12660.0,675.0,4,97.5,723.103606,27934.6,SPT,42,160,8,0.004,GREEDY,False,,,
179591.66,16871.4025,784.48,2835.0,47.25,45.77,58.22,12300.0,0.0,0,100.0,666.583538,30458.27,LPT,42,160,8,0.004,GREEDY,False,,,
174318.0,16900.3,784.48,2835.0,47.25,45.77,65.16,12300.0,0.0,0,100.0,705.152954,29451.58,EDD,42,160,8,0.005,GREEDY,False,,,
181284.24,17014.6275,784.48,2835.0,47.25,45.77,46.69,12300.0,0.0,0,100.0,668.59307,30723.95,Energy_Unaware_Greedy,42,160,8,0.004,GREEDY,False,,,
177671.44,16698.575,784.48,2835.0,47.25,45.77,54.09,12300.0,0.0,0,100.0,659.667833,30031.08,Makespan_Greedy,42,160,8,0.007,GREEDY,False,,,
162874.77,15343.7,784.48,2850.0,47.5,45.53,88.69,12420.0,0.0,0,100.0,624.773448,27657.56,FD_PDTS_Deterministic,42,160,8,0.031,GREEDY,False,,,
160398.34,15153.155,784.48,3030.0,50.5,42.82,100.22,13860.0,0.0,0,100.0,619.542551,27323.97,FD_PDTS_Robust,42,160,8,0.032,GREEDY,False,,,
120013.58,11342.3925,454.48,3090.0,51.5,41.99,112.5,14340.0,0.0,0,100.0,481.530977,20373.84,CP_SAT_Warm,42,160,8,120.03,FEASIBLE,False,217208820.0,129888730.0,True
78227.79,10915.39,161.48,3345.0,55.75,38.79,423.0,16380.0,330.0,5,96.88,578.327933,13572.8,CP_SAT_Cold,42,160,8,120.04,FEASIBLE,False,125188140.0,4238120.0,False
181474.03,16956.62,784.48,2685.0,44.75,49.3,57.42,10890.0,0.0,0,100.0,667.603602,30638.92,FCFS,43,180,8,0.004,GREEDY,False,,,
167869.8,17440.62,784.48,2775.0,46.25,47.7,84.83,11610.0,375.0,2,98.89,752.890593,28412.34,SPT,43,180,8,0.005,GREEDY,False,,,
192965.36,17768.045,784.48,2685.0,44.75,49.3,64.92,10890.0,0.0,0,100.0,679.362278,32508.6,LPT,43,180,8,0.005,GREEDY,False,,,
182465.59,17881.765,784.48,2685.0,44.75,49.3,61.75,10890.0,0.0,0,100.0,731.277259,30705.88,EDD,43,180,8,0.005,GREEDY,False,,,
188384.4,18029.9575,784.48,2685.0,44.75,49.3,54.25,10890.0,0.0,0,100.0,705.213726,31810.57,Energy_Unaware_Greedy,43,180,8,0.005,GREEDY,False,,,
187336.57,17509.2475,784.48,2685.0,44.75,49.3,52.08,10890.0,0.0,0,100.0,683.080533,31566.23,Makespan_Greedy,43,180,8,0.004,GREEDY,False,,,
168013.55,15861.5025,784.48,2730.0,45.5,48.49,92.58,11250.0,0.0,0,100.0,637.147875,28442.75,FD_PDTS_Deterministic,43,180,8,0.032,GREEDY,False,,,
166789.51,15947.3025,784.48,2715.0,45.25,48.76,99.0,11130.0,0.0,0,100.0,644.997097,28242.84,FD_PDTS_Robust,43,180,8,0.032,GREEDY,False,,,
125776.72,12117.04,454.48,2760.0,46.0,47.96,107.08,11490.0,0.0,0,100.0,516.061106,21356.05,CP_SAT_Warm,43,180,8,120.02,FEASIBLE,False,226894070.0,138345190.0,True
86557.24,12262.3675,161.48,3300.0,55.0,40.11,460.17,15810.0,765.0,15,91.67,653.965052,15152.49,CP_SAT_Cold,43,180,8,120.19,FEASIBLE,False,137942400.0,2940050.0,False
199525.38,20158.935,784.48,2895.0,48.25,53.95,87.79,10665.0,0.0,0,100.0,827.4958,34001.88,FCFS,44,190,8,0.005,GREEDY,False,,,
184328.33,21012.395,784.48,3075.0,51.25,50.79,110.92,12105.0,150.0,3,98.42,925.396282,31742.75,SPT,44,190,8,0.005,GREEDY,False,,,
202790.99,20281.5925,784.48,2895.0,48.25,53.95,125.21,10665.0,195.0,2,98.95,840.674144,34468.71,LPT,44,190,8,0.005,GREEDY,False,,,
200727.27,20998.915,784.48,2880.0,48.0,54.23,91.11,10545.0,0.0,0,100.0,866.828427,34318.81,EDD,44,190,8,0.005,GREEDY,False,,,
205875.94,21413.025,784.48,2895.0,48.25,53.95,93.16,10665.0,0.0,0,100.0,885.695416,35132.68,Energy_Unaware_Greedy,44,190,8,0.005,GREEDY,False,,,
203325.28,20590.665,784.48,2895.0,48.25,53.95,84.87,10665.0,0.0,0,100.0,846.973586,34586.19,Makespan_Greedy,44,190,8,0.005,GREEDY,False,,,
186755.31,19391.0325,784.48,2970.0,49.5,52.59,129.95,11265.0,0.0,0,100.0,828.630257,31932.67,FD_PDTS_Deterministic,44,190,8,0.032,GREEDY,False,,,
186167.44,19407.1675,784.48,2985.0,49.75,52.32,133.03,11385.0,0.0,0,100.0,825.967124,31900.65,FD_PDTS_Robust,44,190,8,0.033,GREEDY,False,,,
