Total_Energy_Cost_INR,Total_Energy_kWh,Peak_Hour_Load_kW,Makespan_min,Makespan_hours,Machine_Utilization_pct,Average_Waiting_Time_min,Total_Idle_Time_min,Total_Delay_min,Late_Jobs,On_Time_Completion_pct,Total_Carbon_Emissions_tCO2,Total_Power_Factor_Penalty_INR,Algorithm,Seed,N_Jobs
181528.39,16944.52,813.61,2835.0,47.25,45.77,45.0,12300.0,0.0,0,100.0,242.774973,21621.43,FCFS,42,160
164128.32,16840.5625,813.61,2880.0,48.0,45.05,78.56,12660.0,675.0,4,97.5,237.97919,19921.65,SPT,42,160
179591.66,16871.4025,813.61,2835.0,47.25,45.77,58.22,12300.0,0.0,0,100.0,239.260041,21466.36,LPT,42,160
174318.0,16900.3,813.61,2835.0,47.25,45.77,65.16,12300.0,0.0,0,100.0,240.843338,20736.57,EDD,42,160
181284.24,17014.6275,813.61,2835.0,47.25,45.77,46.69,12300.0,0.0,0,100.0,246.50612,21349.01,Energy_Unaware_Greedy,42,160
177671.44,16698.575,813.61,2835.0,47.25,45.77,54.09,12300.0,0.0,0,100.0,237.482079,21193.89,Makespan_Greedy,42,160
162874.77,15343.7,813.61,2850.0,47.5,45.53,88.69,12420.0,0.0,0,100.0,225.132694,19167.34,FD_PDTS_Deterministic,42,160
160398.34,15153.155,813.61,3030.0,50.5,42.82,100.22,13860.0,0.0,0,100.0,218.860651,19181.51,FD_PDTS_Robust,42,160
204524.46,22062.5025,643.61,3000.0,50.0,47.06,412.83,12705.0,25245.0,39,78.33,313.121319,24309.28,CP_SAT_Warm,42,160
181474.03,16956.62,813.61,2685.0,44.75,49.3,57.42,10890.0,0.0,0,100.0,258.155959,20189.41,FCFS,43,180
167869.8,17440.62,813.61,2775.0,46.25,47.7,84.83,11610.0,375.0,2,98.89,266.963998,18406.36,SPT,43,180
192965.36,17768.045,813.61,2685.0,44.75,49.3,64.92,10890.0,0.0,0,100.0,267.759794,21663.18,LPT,43,180
182465.59,17881.765,813.61,2685.0,44.75,49.3,61.75,10890.0,0.0,0,100.0,269.544669,20172.34,EDD,43,180
188384.4,18029.9575,813.61,2685.0,44.75,49.3,54.25,10890.0,0.0,0,100.0,270.719336,21043.72,Energy_Unaware_Greedy,43,180
187336.57,17509.2475,813.61,2685.0,44.75,49.3,52.08,10890.0,0.0,0,100.0,268.523987,20694.85,Makespan_Greedy,43,180
168013.55,15861.5025,813.61,2730.0,45.5,48.49,92.58,11250.0,0.0,0,100.0,241.860178,18662.72,FD_PDTS_Deterministic,43,180
166789.51,15947.3025,813.61,2715.0,45.25,48.76,99.0,11130.0,0.0,0,100.0,242.685802,18561.05,FD_PDTS_Robust,43,180
199525.38,20158.935,813.61,2895.0,48.25,53.95,87.79,10665.0,0.0,0,100.0,306.745168,22011.97,FCFS,44,190
184328.33,21012.395,813.61,3075.0,51.25,50.79,110.92,12105.0,150.0,3,98.42,293.910425,21857.87,SPT,44,190
202790.99,20281.5925,813.61,2895.0,48.25,53.95,125.21,10665.0,195.0,2,98.95,305.886576,22568.97,LPT,44,190
200727.27,20998.915,813.61,2880.0,48.0,54.23,91.11,10545.0,0.0,0,100.0,309.662196,22829.07,EDD,44,190
205875.94,21413.025,813.61,2895.0,48.25,53.95,93.16,10665.0,0.0,0,100.0,310.721667,23359.06,Energy_Unaware_Greedy,44,190
203325.28,20590.665,813.61,2895.0,48.25,53.95,84.87,10665.0,0.0,0,100.0,308.851504,22644.71,Makespan_Greedy,44,190
186755.31,19391.0325,813.61,2970.0,49.5,52.59,129.95,11265.0,0.0,0,100.0,293.444572,20703.91,FD_PDTS_Deterministic,44,190
186167.44,19407.1675,813.61,2985.0,49.75,52.32,133.03,11385.0,0.0,0,100.0,295.856538,20529.3,FD_PDTS_Robust,44,190
196191.55,19771.3975,813.61,2940.0,49.0,50.64,53.25,11610.0,0.0,0,100.0,278.109286,23748.19,FCFS,45,200
181141.3,19940.3375,738.61,2940.0,49.0,50.64,77.4,11610.0,330.0,2,99.0,288.050739,21414.46,SPT,45,200
198504.34,19820.48,813.61,2940.0,49.0,50.64,57.67,11610.0,0.0,0,100.0,270.06573,24374.87,LPT,45,200
193356.28,19936.065,813.61,2940.0,49.0,50.64,59.02,11610.0,0.0,0,100.0,286.607068,22772.13,EDD,45,200
201619.62,20595.5925,813.61,2940.0,49.0,50.64,50.33,11610.0,0.0,0,100.0,287.975286,24408.5,Energy_Unaware_Greedy,45,200
195305.23,19761.9875,813.61,2940.0,49.0,50.64,53.55,11610.0,0.0,0,100.0,276.314241,23639.13,Makespan_Greedy,45,200
173214.1,17308.7575,813.61,3000.0,50.0,49.62,85.72,12090.0,0.0,0,100.0,249.73959,20644.57,FD_PDTS_Deterministic,45,200
174421.96,17562.2425,813.61,3015.0,50.25,49.38,90.67,12210.0,0.0,0,100.0,257.507465,20585.29,FD_PDTS_Robust,45,200
192624.56,19215.5525,813.61,2955.0,49.25,51.02,87.17,11580.0,0.0,0,100.0,292.161121,21532.65,FCFS,46,180
179810.75,19938.8475,738.61,3030.0,50.5,49.75,121.33,12180.0,2145.0,5,97.22,285.171932,21055.98,SPT,46,180
198142.01,19464.3775,813.61,2955.0,49.25,51.02,103.67,11580.0,195.0,2,98.89,292.722839,22524.31,LPT,46,180
197073.57,20098.045,813.61,2940.0,49.0,51.28,83.33,11460.0,0.0,0,100.0,301.40276,22235.16,EDD,46,180
198539.31,20203.13,813.61,2955.0,49.25,51.02,88.42,11580.0,0.0,0,100.0,302.341026,22647.54,Energy_Unaware_Greedy,46,180
194520.16,19472.0325,813.61,2955.0,49.25,51.02,89.5,11580.0,0.0,0,100.0,293.877717,21974.76,Makespan_Greedy,46,180
184693.16,18565.1425,813.61,2970.0,49.5,50.76,120.92,11700.0,0.0,0,100.0,282.232234,20775.87,FD_PDTS_Deterministic,46,180
187084.84,18977.3125,813.61,2955.0,49.25,51.02,117.58,11580.0,0.0,0,100.0,290.211961,20971.63,FD_PDTS_Robust,46,180
166645.04,16303.56,813.61,2880.0,48.0,41.41,31.78,13500.0,0.0,0,100.0,229.899735,20029.56,FCFS,47,160
160493.97,15890.855,771.61,2850.0,47.5,41.84,39.28,13260.0,0.0,0,100.0,226.186245,19056.57,SPT,47,160
163485.44,15838.6875,813.61,2880.0,48.0,41.41,27.28,13500.0,0.0,0,100.0,217.366938,20238.58,LPT,47,160
162411.53,16070.5225,778.61,2880.0,48.0,41.41,38.62,13500.0,0.0,0,100.0,226.577732,19567.31,EDD,47,160
170649.43,16667.0125,813.61,2880.0,48.0,41.41,26.81,13500.0,0.0,0,100.0,232.306624,20693.16,Energy_Unaware_Greedy,47,160
163268.28,15723.8125,813.61,2880.0,48.0,41.41,28.5,13500.0,0.0,0,100.0,223.723153,19603.69,Makespan_Greedy,47,160
139227.95,13126.555,813.61,2895.0,48.25,41.19,56.06,13620.0,0.0,0,100.0,194.326314,16664.3,FD_PDTS_Deterministic,47,160
139227.95,13126.555,813.61,2895.0,48.25,41.19,56.06,13620.0,0.0,0,100.0,194.326314,16664.3,FD_PDTS_Robust,47,160
