Job_ID,Machine_ID,Assigned_Machine,Machine_Type,Start_Slot,End_Slot,Start_Time,End_Time,Duration_min,Priority,Delay_min,Energy_Cost_$,Is_Late
J036,M01,M01,CNC_Machining,36,43,09:00,10:45,105,Medium,0,1894.89,0
J106,M01,M01,CNC_Machining,43,47,10:45,11:45,60,Medium,0,1102.89,0
J160,M01,M01,CNC_Machining,47,50,11:45,12:30,45,Medium,0,838.89,0
J040,M01,M01,CNC_Machining,50,51,12:30,12:45,15,Medium,0,310.89,0
J083,M01,M01,CNC_Machining,51,59,12:45,14:45,120,Medium,0,2158.89,0
J159,M01,M01,CNC_Machining,59,61,14:45,15:15,30,Low,0,574.89,0
J125,M01,M01,CNC_Machining,62,64,15:30,16:00,30,High,0,574.89,0
J093,M01,M01,CNC_Machining,64,65,16:00,16:15,15,Medium,0,310.89,0
J071,M01,M01,CNC_Machining,65,67,16:15,16:45,30,High,0,574.89,0
J018,M01,M01,CNC_Machining,72,76,18:00,19:00,60,Medium,0,689.31,0
J001,M01,M01,CNC_Machining,76,83,19:00,20:45,105,Medium,0,1184.31,0
J112,M01,M01,CNC_Machining,83,84,20:45,21:00,15,Medium,0,194.31,0
J153,M01,M01,CNC_Machining,87,97,21:45,24:15,150,Medium,0,986.31,0
J041,M01,M01,CNC_Machining,97,105,24:15,26:15,120,Medium,0,719.63,0
J111,M01,M01,CNC_Machining,131,135,32:45,33:45,60,Low,0,1102.89,0
J091,M01,M01,CNC_Machining,136,138,34:00,34:30,30,High,0,574.89,0
J171,M01,M01,CNC_Machining,138,141,34:30,35:15,45,High,0,838.89,0
J038,M01,M01,CNC_Machining,141,144,35:15,36:00,45,Low,0,838.89,0
J003,M01,M01,CNC_Machining,144,148,36:00,37:00,60,Medium,0,1102.89,0
J119,M01,M01,CNC_Machining,148,152,37:00,38:00,60,High,0,1102.89,0
J113,M01,M01,CNC_Machining,152,156,38:00,39:00,60,Low,0,1102.89,0
J124,M01,M01,CNC_Machining,156,159,39:00,39:45,45,Medium,0,838.89,0
J034,M01,M01,CNC_Machining,159,162,39:45,40:30,45,Medium,0,838.89,0
J152,M01,M01,CNC_Machining,164,172,41:00,43:00,120,Medium,0,1762.89,0
J173,M01,M01,CNC_Machining,172,176,43:00,44:00,60,Medium,0,689.31,0
J054,M01,M01,CNC_Machining,176,182,44:00,45:30,90,Medium,0,1019.31,0
J094,M01,M01,CNC_Machining,182,187,45:30,46:45,75,Medium,0,623.31,0
J132,M01,M01,CNC_Machining,187,191,46:45,47:45,60,Medium,0,367.63,0
J130,M01,M01,CNC_Machining,191,198,47:45,49:30,105,Medium,0,631.63,0
J156,M02,M02,Laser_Cutting,16,24,04:00,06:00,120,High,0,775.07,0
