Job_ID,Machine_ID,Assigned_Machine,Machine_Type,Start_Slot,End_Slot,Start_Time,End_Time,Duration_min,Priority,Delay_min,Energy_Cost_$,Is_Late
J114,M01,M01,CNC_Machining,23,26,05:45,06:30,45,Medium,0,433.63,0
J141,M01,M01,CNC_Machining,34,40,08:30,10:00,90,Medium,0,1630.89,0
J077,M01,M01,CNC_Machining,42,44,10:30,11:00,30,Low,0,574.89,0
J131,M01,M01,CNC_Machining,46,47,11:30,11:45,15,Low,0,310.89,0
J061,M01,M01,CNC_Machining,48,50,12:00,12:30,30,Medium,0,574.89,0
J056,M01,M01,CNC_Machining,53,60,13:15,15:00,105,High,0,1894.89,0
J035,M01,M01,CNC_Machining,62,70,15:30,17:30,120,Medium,0,2158.89,0
J132,M01,M01,CNC_Machining,72,74,18:00,18:30,30,Medium,0,359.31,0
J027,M01,M01,CNC_Machining,75,76,18:45,19:00,15,Medium,0,194.31,0
J119,M01,M01,CNC_Machining,77,81,19:15,20:15,60,Medium,0,689.31,0
J152,M01,M01,CNC_Machining,84,85,21:00,21:15,15,Medium,0,194.31,0
J038,M01,M01,CNC_Machining,87,89,21:45,22:15,30,High,0,282.31,0
J074,M01,M01,CNC_Machining,90,91,22:30,22:45,15,Medium,0,103.63,0
J113,M01,M01,CNC_Machining,135,139,33:45,34:45,60,Medium,0,1102.89,0
J102,M01,M01,CNC_Machining,141,151,35:15,37:45,150,Low,0,2686.89,0
J144,M01,M01,CNC_Machining,153,157,38:15,39:15,60,Medium,0,1102.89,0
J103,M01,M01,CNC_Machining,158,159,39:30,39:45,15,Low,0,310.89,0
J111,M01,M01,CNC_Machining,159,161,39:45,40:15,30,Low,0,574.89,0
J019,M01,M01,CNC_Machining,166,168,41:30,42:00,30,High,0,574.89,0
J084,M01,M01,CNC_Machining,168,171,42:00,42:45,45,Low,0,524.31,0
J060,M01,M01,CNC_Machining,172,180,43:00,45:00,120,Medium,0,1349.31,0
J117,M01,M01,CNC_Machining,187,190,46:45,47:30,45,High,0,279.63,0
J057,M02,M02,Laser_Cutting,5,10,01:15,02:30,75,Medium,0,180.55,0
J090,M02,M02,Laser_Cutting,22,23,05:30,05:45,15,Low,0,40.55,0
J054,M02,M02,Laser_Cutting,23,31,05:45,07:45,120,Medium,0,499.92,0
J029,M02,M02,Laser_Cutting,36,41,09:00,10:15,75,Low,0,541.65,0
J062,M02,M02,Laser_Cutting,42,45,10:30,11:15,45,Medium,0,331.65,0
J037,M02,M02,Laser_Cutting,47,51,11:45,12:45,60,High,0,436.65,0
J005,M02,M02,Laser_Cutting,53,56,13:15,14:00,45,High,0,331.65,0
J010,M02,M02,Laser_Cutting,57,67,14:15,16:45,150,Low,0,1066.65,0
J041,M02,M02,Laser_Cutting,68,72,17:00,18:00,60,Low,0,436.65,0
J157,M02,M02,Laser_Cutting,73,81,18:15,20:15,120,Low,0,535.41,0
J014,M02,M02,Laser_Cutting,83,86,20:45,21:30,45,Low,0,207.28,0
J138,M02,M02,Laser_Cutting,88,90,22:00,22:30,30,Medium,0,75.55,0
J028,M02,M02,Laser_Cutting,92,94,23:00,23:30,30,Medium,0,75.55,0
J145,M02,M02,Laser_Cutting,104,107,26:00,26:45,45,Low,0,110.55,0
J012,M02,M02,Laser_Cutting,108,112,27:00,28:00,60,Low,0,145.55,0
J143,M02,M02,Laser_Cutting,134,135,33:30,33:45,15,High,0,121.65,0
J067,M02,M02,Laser_Cutting,137,138,34:15,34:30,15,High,0,121.65,0
J094,M02,M02,Laser_Cutting,140,143,35:00,35:45,45,Low,0,331.65,0
J087,M02,M02,Laser_Cutting,145,146,36:15,36:30,15,Medium,0,121.65,0
J125,M02,M02,Laser_Cutting,147,149,36:45,37:15,30,Low,0,226.65,0
J034,M02,M02,Laser_Cutting,151,154,37:45,38:30,45,Low,0,331.65,0
J047,M02,M02,Laser_Cutting,155,158,38:45,39:30,45,Medium,0,331.65,0
J004,M02,M02,Laser_Cutting,159,160,39:45,40:00,15,High,0,121.65,0
J050,M02,M02,Laser_Cutting,161,162,40:15,40:30,15,Low,0,121.65,0
J015,M02,M02,Laser_Cutting,162,172,40:30,43:00,150,Medium,0,909.15,0
J018,M02,M02,Laser_Cutting,174,176,43:30,44:00,30,Medium,0,141.66,0
J086,M02,M02,Laser_Cutting,177,178,44:15,44:30,15,Medium,0,76.03,0
J081,M02,M02,Laser_Cutting,179,182,44:45,45:30,45,Medium,0,207.28,0
J154,M03,M03,Welding_Robot,31,32,07:45,08:00,15,Low,0,369.15,0
J046,M03,M03,Welding_Robot,44,48,11:00,12:00,60,Medium,0,2165.64,0
J127,M03,M03,Welding_Robot,49,51,12:15,12:45,30,High,0,1115.64,0
J082,M03,M03,Welding_Robot,56,58,14:00,14:30,30,Medium,0,1115.64,0
J095,M03,M03,Welding_Robot,60,68,15:00,17:00,120,High,0,4265.64,0
J100,M03,M03,Welding_Robot,72,75,18:00,18:45,45,Medium,0,1025.4,0
J006,M03,M03,Welding_Robot,76,80,19:00,20:00,60,High,0,1353.52,0
J116,M03,M03,Welding_Robot,141,142,35:15,35:30,15,Medium,0,590.64,0
J070,M03,M03,Welding_Robot,143,148,35:45,37:00,75,Medium,0,2690.64,0
J142,M03,M03,Welding_Robot,150,154,37:30,38:30,60,Medium,0,2165.64,0
J022,M03,M03,Welding_Robot,155,159,38:45,39:45,60,Medium,0,2165.64,0
J146,M03,M03,Welding_Robot,161,166,40:15,41:30,75,Medium,0,2690.64,0
J011,M03,M03,Welding_Robot,168,173,42:00,43:15,75,High,0,1681.65,0
J130,M04,M04,Heat_Treatment,15,22,03:45,05:30,105,High,0,537.95,0
J092,M04,M04,Heat_Treatment,31,37,07:45,09:15,90,High,0,1289.91,0
J078,M04,M04,Heat_Treatment,38,46,09:30,11:30,120,Medium,0,1838.85,0
J055,M04,M04,Heat_Treatment,48,54,12:00,13:30,90,High,0,1388.85,0
J156,M04,M04,Heat_Treatment,56,57,14:00,14:15,15,Low,0,263.85,0
J023,M04,M04,Heat_Treatment,59,65,14:45,16:15,90,Low,0,1388.85,0
J129,M04,M04,Heat_Treatment,68,72,17:00,18:00,60,Medium,0,938.85,0
J149,M04,M04,Heat_Treatment,72,76,18:00,19:00,60,Low,0,586.78,0
J099,M04,M04,Heat_Treatment,77,79,19:15,19:45,30,Medium,0,305.53,0
J044,M04,M04,Heat_Treatment,83,85,20:45,21:15,30,High,0,305.53,0
J155,M04,M04,Heat_Treatment,88,92,22:00,23:00,60,Medium,0,312.95,0
J024,M04,M04,Heat_Treatment,94,104,23:30,26:00,150,High,0,762.95,0
J105,M04,M04,Heat_Treatment,106,114,26:30,28:30,120,High,0,612.95,0
J118,M04,M04,Heat_Treatment,121,125,30:15,31:15,60,Medium,0,586.78,0
J048,M04,M04,Heat_Treatment,132,134,33:00,33:30,30,Medium,0,488.85,0
J120,M04,M04,Heat_Treatment,134,138,33:30,34:30,60,High,0,938.85,0
J042,M04,M04,Heat_Treatment,139,143,34:45,35:45,60,Medium,0,938.85,0
