Job_ID,Machine_ID,Assigned_Machine,Machine_Type,Start_Slot,End_Slot,Start_Time,End_Time,Duration_min,Priority,Delay_min,Energy_Cost_$,Is_Late
J114,M01,M01,CNC_Machining,23,26,05:45,06:30,45,Medium,0,433.63,0
J153,M01,M01,CNC_Machining,34,36,08:30,09:00,30,Medium,0,574.89,0
J133,M01,M01,CNC_Machining,37,42,09:15,10:30,75,Medium,0,1366.89,0
J131,M01,M01,CNC_Machining,42,43,10:30,10:45,15,Low,0,310.89,0
J149,M01,M01,CNC_Machining,61,65,15:15,16:15,60,Low,0,1102.89,0
J032,M01,M01,CNC_Machining,66,69,16:30,17:15,45,Medium,0,838.89,0
J069,M01,M01,CNC_Machining,71,72,17:45,18:00,15,Medium,0,310.89,0
J136,M01,M01,CNC_Machining,74,78,18:30,19:30,60,Low,0,689.31,0
J152,M01,M01,CNC_Machining,82,83,20:30,20:45,15,Medium,0,194.31,0
J074,M01,M01,CNC_Machining,88,89,22:00,22:15,15,Medium,0,103.63,0
J137,M01,M01,CNC_Machining,91,101,22:45,25:15,150,High,0,895.63,0
J145,M01,M01,CNC_Machining,103,106,25:45,26:30,45,Low,0,279.63,0
J012,M01,M01,CNC_Machining,108,112,27:00,28:00,60,Low,0,367.63,0
J058,M01,M01,CNC_Machining,130,134,32:30,33:30,60,Medium,0,1102.89,0
J124,M01,M01,CNC_Machining,134,137,33:30,34:15,45,Medium,0,838.89,0
J034,M01,M01,CNC_Machining,144,147,36:00,36:45,45,Low,0,838.89,0
J111,M01,M01,CNC_Machining,152,154,38:00,38:30,30,Low,0,574.89,0
J084,M01,M01,CNC_Machining,155,158,38:45,39:30,45,Low,0,838.89,0
J019,M01,M01,CNC_Machining,166,168,41:30,42:00,30,High,0,574.89,0
J102,M01,M01,CNC_Machining,169,179,42:15,44:45,150,Low,0,1679.31,0
J117,M01,M01,CNC_Machining,187,190,46:45,47:30,45,High,0,279.63,0
J057,M02,M02,Laser_Cutting,5,10,01:15,02:30,75,Medium,0,180.55,0
J090,M02,M02,Laser_Cutting,21,22,05:15,05:30,15,Low,0,40.55,0
J078,M02,M02,Laser_Cutting,37,45,09:15,11:15,120,Medium,0,856.65,0
J127,M02,M02,Laser_Cutting,45,47,11:15,11:45,30,High,0,226.65,0
J030,M02,M02,Laser_Cutting,52,59,13:00,14:45,105,Medium,0,751.65,0
J041,M02,M02,Laser_Cutting,59,63,14:45,15:45,60,Low,0,436.65,0
J014,M02,M02,Laser_Cutting,67,70,16:45,17:30,45,Low,0,331.65,0
J138,M02,M02,Laser_Cutting,71,73,17:45,18:15,30,Medium,0,187.28,0
J095,M02,M02,Laser_Cutting,75,83,18:45,20:45,120,High,0,535.41,0
J038,M02,M02,Laser_Cutting,88,90,22:00,22:30,30,High,0,75.55,0
J135,M02,M02,Laser_Cutting,92,102,23:00,25:30,150,High,0,355.55,0
J072,M02,M02,Laser_Cutting,109,113,27:15,28:15,60,Medium,0,145.55,0
J143,M02,M02,Laser_Cutting,133,134,33:15,33:30,15,High,0,121.65,0
J087,M02,M02,Laser_Cutting,139,140,34:45,35:00,15,Medium,0,121.65,0
J116,M02,M02,Laser_Cutting,142,143,35:30,35:45,15,Medium,0,121.65,0
J142,M02,M02,Laser_Cutting,146,150,36:30,37:30,60,Medium,0,436.65,0
J004,M02,M02,Laser_Cutting,151,152,37:45,38:00,15,High,0,121.65,0
J101,M02,M02,Laser_Cutting,152,155,38:00,38:45,45,High,0,331.65,0
J025,M02,M02,Laser_Cutting,156,159,39:00,39:45,45,Medium,0,331.65,0
J050,M02,M02,Laser_Cutting,160,161,40:00,40:15,15,Low,0,121.65,0
J018,M02,M02,Laser_Cutting,164,166,41:00,41:30,30,Medium,0,226.65,0
J086,M02,M02,Laser_Cutting,168,169,42:00,42:15,15,Medium,0,76.03,0
J081,M02,M02,Laser_Cutting,170,173,42:30,43:15,45,Medium,0,207.28,0
J112,M02,M02,Laser_Cutting,175,182,43:45,45:30,105,Medium,0,469.78,0
J015,M02,M02,Laser_Cutting,184,194,46:00,48:30,150,Medium,0,355.55,0
J130,M03,M03,Welding_Robot,15,22,03:45,05:30,105,High,0,1246.88,0
J154,M03,M03,Welding_Robot,31,32,07:45,08:00,15,Low,0,369.15,0
J007,M03,M03,Welding_Robot,38,43,09:30,10:45,75,Medium,0,2690.64,0
J005,M03,M03,Welding_Robot,45,48,11:15,12:00,45,High,0,1640.64,0
J055,M03,M03,Welding_Robot,49,55,12:15,13:45,90,High,0,3215.64,0
J021,M03,M03,Welding_Robot,56,59,14:00,14:45,45,Medium,0,1640.64,0
J100,M03,M03,Welding_Robot,67,70,16:45,17:30,45,Medium,0,1640.64,0
J006,M03,M03,Welding_Robot,71,75,17:45,18:45,60,High,0,1575.02,0
J096,M03,M03,Welding_Robot,77,87,19:15,21:45,150,Medium,0,3322.28,0
J083,M03,M03,Welding_Robot,130,131,32:30,32:45,15,Medium,0,590.64,0
J094,M03,M03,Welding_Robot,133,136,33:15,34:00,45,Low,0,1640.64,0
J033,M03,M03,Welding_Robot,143,146,35:45,36:30,45,High,0,1640.64,0
J076,M03,M03,Welding_Robot,146,147,36:30,36:45,15,Medium,0,590.64,0
J047,M03,M03,Welding_Robot,150,153,37:30,38:15,45,Medium,0,1640.64,0
J128,M03,M03,Welding_Robot,153,155,38:15,38:45,30,Medium,0,1115.64,0
J022,M03,M03,Welding_Robot,156,160,39:00,40:00,60,Medium,0,2165.64,0
J146,M03,M03,Welding_Robot,162,167,40:30,41:45,75,Medium,0,2690.64,0
J011,M03,M03,Welding_Robot,169,174,42:15,43:30,75,High,0,1681.65,0
J075,M03,M03,Welding_Robot,190,194,47:30,48:30,60,Medium,0,721.88,0
J080,M04,M04,Heat_Treatment,31,35,07:45,08:45,60,Medium,0,839.91,0
J077,M04,M04,Heat_Treatment,38,40,09:30,10:00,30,Low,0,488.85,0
J037,M04,M04,Heat_Treatment,43,47,10:45,11:45,60,High,0,938.85,0
J156,M04,M04,Heat_Treatment,51,52,12:45,13:00,15,Low,0,263.85,0
J023,M04,M04,Heat_Treatment,56,62,14:00,15:30,90,Low,0,1388.85,0
J026,M04,M04,Heat_Treatment,65,67,16:15,16:45,30,High,0,488.85,0
J129,M04,M04,Heat_Treatment,69,73,17:15,18:15,60,Medium,0,854.48,0
J157,M04,M04,Heat_Treatment,75,83,18:45,20:45,120,Low,0,1149.28,0
J155,M04,M04,Heat_Treatment,86,90,21:30,22:30,60,Medium,0,455.53,0
J024,M04,M04,Heat_Treatment,92,102,23:00,25:30,150,High,0,762.95,0
J105,M04,M04,Heat_Treatment,105,113,26:15,28:15,120,High,0,612.95,0
J118,M04,M04,Heat_Treatment,121,125,30:15,31:15,60,Medium,0,586.78,0
J067,M04,M04,Heat_Treatment,133,134,33:15,33:30,15,High,0,263.85,0
J042,M04,M04,Heat_Treatment,134,138,33:30,34:30,60,Medium,0,938.85,0
J097,M04,M04,Heat_Treatment,143,145,35:45,36:15,30,Medium,0,488.85,0
J040,M04,M04,Heat_Treatment,146,150,36:30,37:30,60,Medium,0,938.85,0
J147,M04,M04,Heat_Treatment,151,153,37:45,38:15,30,Medium,0,488.85,0
J103,M04,M04,Heat_Treatment,153,154,38:15,38:30,15,Low,0,263.85,0
J070,M04,M04,Heat_Treatment,154,159,38:30,39:45,75,Medium,0,1163.85,0
J013,M04,M04,Heat_Treatment,160,161,40:00,40:15,15,Low,0,263.85,0
J073,M04,M04,Heat_Treatment,161,168,40:15,42:00,105,Medium,0,1613.85,0
J060,M04,M04,Heat_Treatment,168,176,42:00,44:00,120,Medium,0,1149.28,0
J093,M04,M04,Heat_Treatment,182,186,45:30,46:30,60,High,0,455.53,0
J150,M04,M04,Heat_Treatment,187,197,46:45,49:15,150,High,0,762.95,0
J066,M05,M05,Stamping_Press,19,20,04:45,05:00,15,Medium,0,110.42,0
J029,M05,M05,Stamping_Press,35,40,08:45,10:00,75,Low,0,1471.26,0
J045,M05,M05,Stamping_Press,40,45,10:00,11:15,75,Low,0,1471.26,0
J056,M05,M05,Stamping_Press,52,59,13:00,14:45,105,High,0,2041.26,0
J035,M05,M05,Stamping_Press,61,69,15:15,17:15,120,Medium,0,2326.26,0
J065,M05,M05,Stamping_Press,70,72,17:30,18:00,30,Medium,0,616.26,0
J039,M05,M05,Stamping_Press,74,78,18:30,19:30,60,Low,0,741.41,0
J043,M05,M05,Stamping_Press,79,89,19:45,22:15,150,Medium,0,1727.04,0
J010,M05,M05,Stamping_Press,91,101,22:45,25:15,150,Low,105,965.42,1
J048,M05,M05,Stamping_Press,133,135,33:15,33:45,30,Medium,0,616.26,0
J125,M05,M05,Stamping_Press,142,144,35:30,36:00,30,Low,0,616.26,0
J089,M05,M05,Stamping_Press,152,155,38:00,38:45,45,Medium,0,901.26,0
J020,M05,M05,Stamping_Press,158,165,39:30,41:15,105,Medium,0,2041.26,0
J052,M05,M05,Stamping_Press,169,171,42:15,42:45,30,Medium,0,385.16,0
J031,M05,M05,Stamping_Press,172,175,43:00,43:45,45,High,0,563.29,0
J085,M05,M05,Stamping_Press,176,186,44:00,46:30,150,Low,0,1643.91,0
J110,M06,M06,Assembly_Line,23,33,05:45,08:15,150,Low,0,2960.92,0
J148,M06,M06,Assembly_Line,34,37,08:30,09:15,45,Medium,0,1442.76,0
J141,M06,M06,Assembly_Line,39,45,09:45,11:15,90,Medium,0,2837.76,0
J123,M06,M06,Assembly_Line,45,46,11:15,11:30,15,Low,0,512.76,0
J107,M06,M06,Assembly_Line,48,51,12:00,12:45,45,High,0,1442.76,0
J108,M06,M06,Assembly_Line,53,63,13:15,15:45,150,Medium,0,4697.76,0
J098,M06,M06,Assembly_Line,63,70,15:45,17:30,105,High,0,3302.76,0
J099,M06,M06,Assembly_Line,71,73,17:45,18:15,30,Medium,0,803.38,0
J088,M06,M06,Assembly_Line,96,104,24:00,26:00,120,Low,0,1255.92,0
J120,M06,M06,Assembly_Line,134,138,33:30,34:30,60,High,0,1907.76,0
J144,M06,M06,Assembly_Line,144,148,36:00,37:00,60,Medium,0,1907.76,0
J126,M06,M06,Assembly_Line,148,150,37:00,37:30,30,Low,0,977.76,0
J106,M06,M06,Assembly_Line,154,156,38:30,39:00,30,Medium,0,977.76,0
J049,M06,M06,Assembly_Line,158,163,39:30,40:45,75,Medium,0,2372.76,0
J158,M06,M06,Assembly_Line,170,171,42:30,42:45,15,Medium,0,320.48,0
J002,M06,M06,Assembly_Line,171,175,42:45,43:45,60,Low,0,1192.35,0
J064,M06,M06,Assembly_Line,180,183,45:00,45:45,45,Medium,0,901.72,0
J068,M06,M06,Assembly_Line,184,194,46:00,48:30,150,Medium,210,1565.92,1
J016,M07,M07,Injection_Moulding,7,17,01:45,04:15,150,Low,0,423.63,0
J071,M07,M07,Injection_Moulding,28,33,07:00,08:15,75,Medium,0,447.81,0
J092,M07,M07,Injection_Moulding,34,40,08:30,10:00,90,High,0,766.89,0
J061,M07,M07,Injection_Moulding,43,45,10:45,11:15,30,Medium,0,262.89,0
J115,M07,M07,Injection_Moulding,46,53,11:30,13:15,105,Medium,0,892.89,0
J082,M07,M07,Injection_Moulding,55,57,13:45,14:15,30,Medium,0,262.89,0
J140,M07,M07,Injection_Moulding,58,59,14:30,14:45,15,Medium,0,136.89,0
J132,M07,M07,Injection_Moulding,62,64,15:30,16:00,30,Medium,0,262.89,0
J051,M07,M07,Injection_Moulding,67,69,16:45,17:15,30,High,0,262.89,0
J119,M07,M07,Injection_Moulding,70,74,17:30,18:30,60,Medium,0,420.39,0
J063,M07,M07,Injection_Moulding,75,82,18:45,20:30,105,Medium,0,558.06,0
J134,M07,M07,Injection_Moulding,84,94,21:00,23:30,150,High,150,573.81,1
J113,M07,M07,Injection_Moulding,135,139,33:45,34:45,60,Medium,0,514.89,0
J091,M07,M07,Injection_Moulding,143,144,35:45,36:00,15,Medium,0,136.89,0
J008,M07,M07,Injection_Moulding,151,156,37:45,39:00,75,Low,0,640.89,0
J159,M07,M07,Injection_Moulding,162,163,40:30,40:45,15,Low,0,136.89,0
J036,M07,M07,Injection_Moulding,165,171,41:15,42:45,90,High,0,625.14,0
J121,M07,M07,Injection_Moulding,173,183,43:15,45:45,150,High,0,794.31,0
J160,M07,M07,Injection_Moulding,190,191,47:30,47:45,15,Medium,0,45.63,0
J054,M08,M08,Surface_Grinding,21,29,05:15,07:15,120,Medium,0,1377.0,0
J053,M08,M08,Surface_Grinding,31,37,07:45,09:15,90,Medium,0,1885.78,0
J062,M08,M08,Surface_Grinding,38,41,09:30,10:15,45,Medium,0,1037.25,0
J046,M08,M08,Surface_Grinding,44,48,11:00,12:00,60,Medium,0,1367.25,0
J003,M08,M08,Surface_Grinding,57,64,14:15,16:00,105,Medium,0,2357.25,0
J027,M08,M08,Surface_Grinding,64,65,16:00,16:15,15,Medium,0,377.25,0
J122,M08,M08,Surface_Grinding,68,72,17:00,18:00,60,Low,0,1367.25,0
J028,M08,M08,Surface_Grinding,72,74,18:00,18:30,30,Medium,0,442.03,0
J059,M08,M08,Surface_Grinding,74,80,18:30,20:00,90,Medium,0,1267.03,0
J044,M08,M08,Surface_Grinding,83,85,20:45,21:15,30,High,0,442.03,0
J017,M08,M08,Surface_Grinding,87,97,21:45,24:15,150,High,210,1225.78,1
J001,M08,M08,Surface_Grinding,133,138,33:15,34:30,75,High,0,1697.25,0
J104,M08,M08,Surface_Grinding,140,144,35:00,36:00,60,Medium,0,1367.25,0
J009,M08,M08,Surface_Grinding,152,156,38:00,39:00,60,Medium,0,1367.25,0
J151,M08,M08,Surface_Grinding,158,164,39:30,41:00,90,Medium,0,2027.25,0
J109,M08,M08,Surface_Grinding,166,172,41:30,43:00,90,Low,0,1532.25,0
J079,M08,M08,Surface_Grinding,173,180,43:15,45:00,105,Medium,0,1473.28,0
J139,M08,M08,Surface_Grinding,182,192,45:30,48:00,150,Medium,0,1322.03,0
