Total_Energy_Cost_INR,Total_Energy_kWh,Peak_Hour_Load_kW,Makespan_min,Makespan_hours,Machine_Utilization_pct,Average_Waiting_Time_min,Total_Idle_Time_min,Total_Delay_min,Late_Jobs,On_Time_Completion_pct,Total_Carbon_Emissions_tCO2,Total_Power_Factor_Penalty_INR,Config_Label,alpha,beta_tardiness,gamma_waiting,Algorithm
160398.34,15153.155,784.48,3030.0,50.5,42.82,100.22,13860.0,0.0,0,100.0,619.542551,27323.97,"alpha=10,beta=1000,gamma=350",10,1000,350,FD_PDTS_Robust
118873.86,11318.28,454.48,3090.0,51.5,41.99,112.12,14340.0,0.0,0,100.0,488.690284,20142.32,"alpha=10,beta=1000,gamma=350",10,1000,350,CP_SAT_Warm
160398.34,15153.155,784.48,3030.0,50.5,42.82,100.22,13860.0,0.0,0,100.0,619.542551,27323.97,"alpha=20,beta=1000,gamma=350 [DEFAULT]",20,1000,350,FD_PDTS_Robust
121406.36,11485.7025,454.48,3090.0,51.5,41.99,110.06,14340.0,0.0,0,100.0,490.591185,20606.11,"alpha=20,beta=1000,gamma=350 [DEFAULT]",20,1000,350,CP_SAT_Warm
160398.34,15153.155,784.48,3030.0,50.5,42.82,100.22,13860.0,0.0,0,100.0,619.542551,27323.97,"alpha=40,beta=1000,gamma=350",40,1000,350,FD_PDTS_Robust
120098.69,11483.4275,454.48,3090.0,51.5,41.99,113.53,14340.0,0.0,0,100.0,491.877662,20389.44,"alpha=40,beta=1000,gamma=350",40,1000,350,CP_SAT_Warm
160398.34,15153.155,784.48,3030.0,50.5,42.82,100.22,13860.0,0.0,0,100.0,619.542551,27323.97,"alpha=20,beta=500,gamma=350",20,500,350,FD_PDTS_Robust
119585.6,11332.315,454.48,3090.0,51.5,41.99,109.03,14340.0,0.0,0,100.0,486.528376,20241.54,"alpha=20,beta=500,gamma=350",20,500,350,CP_SAT_Warm
160398.34,15153.155,784.48,3030.0,50.5,42.82,100.22,13860.0,0.0,0,100.0,619.542551,27323.97,"alpha=20,beta=2000,gamma=350",20,2000,350,FD_PDTS_Robust
119309.96,11373.08,454.48,3090.0,51.5,41.99,112.88,14340.0,0.0,0,100.0,490.567595,20222.1,"alpha=20,beta=2000,gamma=350",20,2000,350,CP_SAT_Warm
160398.34,15153.155,784.48,3030.0,50.5,42.82,100.22,13860.0,0.0,0,100.0,619.542551,27323.97,"alpha=20,beta=1000,gamma=175",20,1000,175,FD_PDTS_Robust
119625.18,11346.2475,454.48,3090.0,51.5,41.99,111.56,14340.0,0.0,0,100.0,485.883214,20279.04,"alpha=20,beta=1000,gamma=175",20,1000,175,CP_SAT_Warm
160398.34,15153.155,784.48,3030.0,50.5,42.82,100.22,13860.0,0.0,0,100.0,619.542551,27323.97,"alpha=20,beta=1000,gamma=700",20,1000,700,FD_PDTS_Robust
119242.02,11310.9675,454.48,3090.0,51.5,41.99,110.53,14340.0,0.0,0,100.0,485.683674,20227.8,"alpha=20,beta=1000,gamma=700",20,1000,700,CP_SAT_Warm
