Job_ID,Duration_min,Deadline,Priority,Compatible_Machines,Arrival_Time,Setup_Type
J001,240,144,2,"M06,M10",51,Type_A
J002,210,281,2,"M04,M06,M10",161,Type_A
J003,240,181,3,"M01,M06,M08,M10",58,Type_B
J004,90,250,2,"M04,M05,M06,M10",128,Type_C
J005,60,166,2,"M01,M07",72,Type_B
J006,45,220,2,"M02,M03,M05,M07,M08",135,Type_B
J007,45,106,2,"M02,M10",43,Type_B
J008,15,241,2,"M02,M03,M08,M10",146,Type_C
J009,180,288,2,"M02,M03,M08",187,Type_B
J010,60,122,2,"M02,M05,M07,M10",33,Type_C
J011,240,226,1,"M01,M03,M04,M05,M07",113,Type_C
J012,180,213,1,"M01,M03,M08,M10",91,Type_A
J013,30,123,2,"M05,M09",63,Type_A
J014,240,134,3,"M02,M06,M10",39,Type_C
J015,240,167,2,"M02,M03,M04,M10",51,Type_A
J016,240,188,1,"M01,M06",65,Type_B
J017,45,288,3,"M02,M05,M09",183,Type_A
J018,60,194,2,"M03,M04,M05,M09",84,Type_B
J019,90,269,2,"M03,M07,M09",153,Type_A
J020,30,264,3,"M01,M03,M05",144,Type_B
J021,30,149,1,"M04,M07,M09",55,Type_C
J022,30,125,2,"M01,M02,M04,M05,M09",57,Type_C
J023,30,230,2,"M01,M03,M06,M08,M09",139,Type_C
J024,30,242,1,"M02,M03,M04,M07,M09",141,Type_A
J025,120,120,2,"M08,M09,M10",57,Type_B
J026,45,274,2,"M04,M06,M09",168,Type_A
J027,150,227,1,"M01,M02,M03,M08,M10",130,Type_C
J028,45,264,2,"M01,M02,M03,M05",145,Type_C
J029,45,217,2,"M02,M03",151,Type_A
J030,150,206,1,"M03,M07,M08,M10",82,Type_B
J031,30,144,1,"M01,M03,M08,M09",62,Type_B
J032,90,282,3,"M02,M05,M07,M09,M10",187,Type_B
J033,60,222,2,"M04,M07,M08",122,Type_B
J034,15,229,2,"M02,M04,M06,M07,M08",138,Type_A
J035,240,173,1,"M02,M05,M06,M07",44,Type_B
J036,120,135,2,"M03,M04,M05",67,Type_B
J037,90,209,2,"M05,M06,M10",102,Type_C
J038,240,288,2,"M01,M08",175,Type_C
J039,120,205,2,"M01,M02,M10",133,Type_C
J040,45,112,3,"M01,M05,M06,M09",43,Type_A
J041,15,99,3,"M02,M03,M06,M10",16,Type_C
J042,240,121,1,"M02,M06",5,Type_B
J043,210,183,1,"M06,M07,M10",51,Type_B
J044,15,270,1,"M01,M02,M05,M09",163,Type_C
J045,30,169,2,"M01,M04,M05",62,Type_C
J046,30,185,1,"M01,M02,M03,M10",103,Type_A
J047,240,232,3,"M01,M03,M08",121,Type_B
J048,15,213,2,"M02,M04,M09",149,Type_C
J049,30,128,3,"M01,M03,M07,M08,M09",45,Type_B
J050,30,139,2,"M06,M07,M10",76,Type_A
J051,240,116,3,"M05,M08",51,Type_B
J052,60,171,1,"M01,M02,M07,M08,M09",57,Type_C
J053,45,157,2,"M02,M04",48,Type_A
J054,30,255,2,"M01,M03,M06,M07",168,Type_C
J055,210,231,3,"M01,M04,M06,M07,M10",168,Type_C
J056,60,196,2,"M06,M08,M09,M10",138,Type_C
J057,30,190,3,"M01,M03,M07",132,Type_A
J058,30,243,1,"M01,M03,M04,M05,M09",141,Type_A
J059,30,170,3,"M02,M08",106,Type_B
J060,30,237,2,"M04,M06,M07,M09,M10",169,Type_B
J061,15,269,2,"M03,M04,M06",158,Type_B
J062,60,288,3,"M03,M05,M08,M09,M10",191,Type_C
J063,240,288,2,"M01,M05,M07,M08",170,Type_C
