Job_ID,Machine_ID,Assigned_Machine,Machine_Type,Start_Slot,End_Slot,Start_Time,End_Time,Duration_min,Priority,Delay_min,Energy_Cost_$,Is_Late
J281,M01,M01,CNC_Machining,11,12,02:45,03:00,15,Medium,0,204.09,0
J335,M01,M01,CNC_Machining,27,29,06:45,07:15,30,High,0,694.09,0
J338,M01,M01,CNC_Machining,31,47,07:45,11:45,240,Medium,0,7856.72,0
J165,M01,M01,CNC_Machining,49,50,12:15,12:30,15,Low,0,612.27,0
J157,M01,M01,CNC_Machining,55,56,13:45,14:00,15,Medium,0,612.27,0
J094,M01,M01,CNC_Machining,58,61,14:30,15:15,45,Medium,0,1608.81,0
J146,M01,M01,CNC_Machining,63,65,15:45,16:15,30,Low,0,1110.54,0
J466,M01,M01,CNC_Machining,67,75,16:45,18:45,120,Medium,0,3539.61,0
J241,M01,M01,CNC_Machining,76,78,19:00,19:30,30,Medium,0,694.09,0
J022,M01,M01,CNC_Machining,80,82,20:00,20:30,30,Medium,0,694.09,0
J049,M01,M01,CNC_Machining,84,86,21:00,21:30,30,Low,0,694.09,0
J134,M01,M01,CNC_Machining,87,101,21:45,25:15,210,Medium,0,2541.84,0
J212,M01,M01,CNC_Machining,103,105,25:45,26:15,30,Medium,0,370.18,0
J356,M01,M01,CNC_Machining,107,108,26:45,27:00,15,Medium,0,204.09,0
J366,M01,M01,CNC_Machining,110,113,27:30,28:15,45,High,0,536.27,0
J088,M01,M01,CNC_Machining,114,118,28:30,29:30,60,High,0,702.36,0
J245,M01,M01,CNC_Machining,119,123,29:45,30:45,60,Low,0,1138.35,0
J404,M01,M01,CNC_Machining,125,131,31:15,32:45,90,Medium,0,2500.32,0
J349,M01,M01,CNC_Machining,133,134,33:15,33:30,15,Medium,0,612.27,0
J279,M01,M01,CNC_Machining,136,137,34:00,34:15,15,Medium,0,612.27,0
J090,M01,M01,CNC_Machining,139,143,34:45,35:45,60,Medium,0,2107.08,0
J230,M01,M01,CNC_Machining,145,159,36:15,39:45,210,Low,195,7089.78,1
J444,M01,M01,CNC_Machining,160,174,40:00,43:30,210,Medium,300,5968.67,1
J346,M01,M01,CNC_Machining,175,177,43:45,44:15,30,Medium,315,694.09,1
J110,M01,M01,CNC_Machining,179,183,44:45,45:45,60,Medium,330,1316.92,1
J005,M01,M01,CNC_Machining,185,189,46:15,47:15,60,Medium,345,702.36,1
J405,M01,M01,CNC_Machining,190,196,47:30,49:00,90,Medium,405,1034.54,1
J480,M01,M01,CNC_Machining,198,202,49:30,50:30,60,Medium,450,702.36,1
J132,M01,M01,CNC_Machining,204,207,51:00,51:45,45,High,480,536.27,1
J350,M01,M01,CNC_Machining,209,223,52:15,55:45,210,Medium,660,2363.26,1
J341,M01,M01,CNC_Machining,225,226,56:15,56:30,15,Medium,600,204.09,1
J232,M01,M01,CNC_Machining,228,230,57:00,57:30,30,Medium,405,370.18,1
J039,M01,M01,CNC_Machining,231,239,57:45,59:45,120,Medium,510,1366.72,1
J479,M01,M01,CNC_Machining,241,245,60:15,61:15,60,Medium,570,702.36,1
J345,M01,M01,CNC_Machining,246,248,61:30,62:00,30,Medium,540,370.18,1
J184,M01,M01,CNC_Machining,249,251,62:15,62:45,30,High,555,370.18,1
J159,M01,M01,CNC_Machining,252,256,63:00,64:00,60,High,555,702.36,1
J469,M01,M01,CNC_Machining,258,266,64:30,66:30,120,Medium,660,1366.72,1
J490,M01,M01,CNC_Machining,268,284,67:00,71:00,240,Low,885,2695.44,1
J293,M01,M01,CNC_Machining,286,302,71:30,75:30,240,Low,1095,2695.44,1
J290,M01,M01,CNC_Machining,304,316,76:00,79:00,180,Medium,1215,2031.08,1
J360,M01,M01,CNC_Machining,317,318,79:15,79:30,15,Medium,1155,204.09,1
J058,M01,M01,CNC_Machining,320,322,80:00,80:30,30,High,1185,370.18,1
J192,M01,M01,CNC_Machining,324,340,81:00,85:00,240,Medium,1410,2695.44,1
J121,M01,M01,CNC_Machining,342,343,85:30,85:45,15,High,1410,204.09,1
J176,M01,M01,CNC_Machining,344,360,86:00,90:00,240,Low,1665,2695.44,1
J378,M01,M01,CNC_Machining,362,376,90:30,94:00,210,Medium,1740,2363.26,1
J325,M01,M01,CNC_Machining,378,394,94:30,98:30,240,Medium,1770,2695.44,1
J153,M01,M01,CNC_Machining,395,409,98:45,102:15,210,Medium,1875,2363.26,1
J277,M02,M02,Laser_Cutting,2,4,00:30,01:00,30,High,0,347.31,0
J475,M02,M02,Laser_Cutting,16,20,04:00,05:00,60,Medium,0,656.53,0
J437,M02,M02,Laser_Cutting,40,42,10:00,10:30,30,Medium,0,1041.93,0
J007,M02,M02,Laser_Cutting,43,46,10:45,11:30,45,Medium,0,1505.76,0
J211,M02,M02,Laser_Cutting,48,58,12:00,14:30,150,Low,0,4752.57,0
J436,M02,M02,Laser_Cutting,60,62,15:00,15:30,30,High,0,1041.93,0
J377,M02,M02,Laser_Cutting,64,66,16:00,16:30,30,Low,0,1041.93,0
