Job_ID,Machine_ID,Assigned_Machine,Machine_Type,Start_Slot,End_Slot,Start_Time,End_Time,Duration_min,Priority,Delay_min,Energy_Cost_$,Is_Late
J140,M01,M01,CNC_Machining,6,9,01:30,02:15,45,Medium,0,279.63,0
J014,M01,M01,CNC_Machining,32,37,08:00,09:15,75,Medium,0,1366.89,0
J036,M01,M01,CNC_Machining,38,45,09:30,11:15,105,Medium,0,1894.89,0
J160,M01,M01,CNC_Machining,45,48,11:15,12:00,45,Medium,0,838.89,0
J142,M01,M01,CNC_Machining,50,51,12:30,12:45,15,Low,0,310.89,0
J040,M01,M01,CNC_Machining,51,52,12:45,13:00,15,Medium,0,310.89,0
J159,M01,M01,CNC_Machining,56,58,14:00,14:30,30,Low,0,574.89,0
J125,M01,M01,CNC_Machining,64,66,16:00,16:30,30,High,0,574.89,0
J050,M01,M01,CNC_Machining,66,67,16:30,16:45,15,Medium,0,310.89,0
J071,M01,M01,CNC_Machining,68,70,17:00,17:30,30,High,0,574.89,0
J012,M01,M01,CNC_Machining,72,82,18:00,20:30,150,Medium,0,1679.31,0
J041,M01,M01,CNC_Machining,82,90,20:30,22:30,120,Medium,0,1195.31,0
J057,M01,M01,CNC_Machining,92,99,23:00,24:45,105,Low,0,631.63,0
J111,M01,M01,CNC_Machining,129,133,32:15,33:15,60,Low,0,1102.89,0
J180,M01,M01,CNC_Machining,133,137,33:15,34:15,60,Medium,0,1102.89,0
J091,M01,M01,CNC_Machining,138,140,34:30,35:00,30,High,0,574.89,0
J171,M01,M01,CNC_Machining,142,145,35:30,36:15,45,High,0,838.89,0
J113,M01,M01,CNC_Machining,147,151,36:45,37:45,60,Low,0,1102.89,0
J119,M01,M01,CNC_Machining,152,156,38:00,39:00,60,High,0,1102.89,0
J152,M01,M01,CNC_Machining,157,165,39:15,41:15,120,Medium,0,2158.89,0
J054,M01,M01,CNC_Machining,167,173,41:45,43:15,90,Medium,0,1135.89,0
J094,M01,M01,CNC_Machining,175,180,43:45,45:00,75,Medium,0,854.31,0
J132,M01,M01,CNC_Machining,181,185,45:15,46:15,60,Medium,0,612.31,0
J156,M02,M02,Laser_Cutting,16,24,04:00,06:00,120,High,0,775.07,0
