Job_ID,Machine_ID,Assigned_Machine,Machine_Type,Start_Slot,End_Slot,Start_Time,End_Time,Duration_min,Priority,Delay_min,Energy_Cost_$,Is_Late
J005,M01,M01,CNC_Machining,98,102,24:30,25:30,60,Medium,0,702.36,0
J341,M01,M01,CNC_Machining,131,132,32:45,33:00,15,Medium,0,612.27,0
J490,M01,M01,CNC_Machining,152,168,38:00,42:00,240,Low,0,8086.32,0
J150,M01,M01,CNC_Machining,182,185,45:30,46:15,45,Medium,990,860.18,1
J270,M01,M01,CNC_Machining,189,190,47:15,47:30,15,Medium,0,204.09,0
J306,M02,M02,Laser_Cutting,101,111,25:15,27:45,150,Low,105,1584.19,1
J324,M02,M02,Laser_Cutting,114,116,28:30,29:00,30,Medium,0,347.31,0
J262,M02,M02,Laser_Cutting,131,132,32:45,33:00,15,Low,0,578.1,0
J029,M02,M02,Laser_Cutting,162,165,40:30,41:15,45,Medium,0,1505.76,0
J180,M02,M02,Laser_Cutting,167,170,41:45,42:30,45,Low,0,1157.89,0
J108,M02,M02,Laser_Cutting,172,175,43:00,43:45,45,Medium,0,941.1,0
J246,M02,M02,Laser_Cutting,177,181,44:15,45:15,60,Medium,780,1230.99,1
J423,M02,M02,Laser_Cutting,182,194,45:30,48:30,180,Low,960,2197.31,1
J355,M02,M02,Laser_Cutting,196,202,49:00,50:30,90,Low,690,965.75,1
J376,M02,M02,Laser_Cutting,203,213,50:45,53:15,150,Medium,0,1584.19,0
J310,M02,M02,Laser_Cutting,214,228,53:30,57:00,210,High,360,2202.63,1
J378,M02,M02,Laser_Cutting,230,244,57:30,61:00,210,Medium,0,2202.63,0
J281,M03,M03,Welding_Robot,11,12,02:45,03:00,15,Medium,0,183.74,0
J096,M03,M03,Welding_Robot,21,22,05:15,05:30,15,Low,0,183.74,0
J365,M03,M03,Welding_Robot,79,80,19:45,20:00,15,Low,0,344.51,0
J497,M03,M03,Welding_Robot,82,83,20:30,20:45,15,Low,0,344.51,0
J470,M03,M03,Welding_Robot,85,86,21:15,21:30,15,Low,0,344.51,0
J482,M03,M03,Welding_Robot,96,97,24:00,24:15,15,Medium,0,183.74,0
J152,M03,M03,Welding_Robot,118,120,29:30,30:00,30,Medium,0,347.91,0
J145,M03,M03,Welding_Robot,120,123,30:00,30:45,45,Medium,0,960.15,0
J232,M03,M03,Welding_Robot,123,125,30:45,31:15,30,Medium,0,652.33,0
J057,M03,M03,Welding_Robot,132,134,33:00,33:30,30,Low,0,1043.73,0
J158,M03,M03,Welding_Robot,136,138,34:00,34:30,30,Medium,0,1043.73,0
J139,M03,M03,Welding_Robot,172,176,43:00,44:00,60,Medium,0,1267.97,0
J136,M03,M03,Welding_Robot,178,192,44:30,48:00,210,Low,0,3196.97,0
J019,M03,M03,Welding_Robot,194,200,48:30,50:00,90,Medium,0,1004.59,0
J109,M03,M03,Welding_Robot,201,213,50:15,53:15,180,High,0,1989.61,0
J381,M04,M04,Heat_Treatment,166,167,41:30,41:45,15,High,885,436.98,1
J157,M04,M04,Heat_Treatment,169,170,42:15,42:30,15,Medium,870,273.11,1
J048,M04,M04,Heat_Treatment,171,172,42:45,43:00,15,Medium,0,273.11,0
J398,M04,M04,Heat_Treatment,174,175,43:30,43:45,15,Low,0,273.11,0
J326,M04,M04,Heat_Treatment,177,178,44:15,44:30,15,High,0,273.11,0
J358,M04,M04,Heat_Treatment,180,181,45:00,45:15,15,High,630,273.11,1
J471,M04,M04,Heat_Treatment,182,183,45:30,45:45,15,Medium,0,273.11,0
J204,M04,M04,Heat_Treatment,184,185,46:00,46:15,15,Low,0,145.66,0
J481,M04,M04,Heat_Treatment,185,186,46:15,46:30,15,Medium,0,145.66,0
J422,M04,M04,Heat_Treatment,187,188,46:45,47:00,15,Medium,0,145.66,0
J220,M04,M04,Heat_Treatment,190,192,47:30,48:00,30,Medium,465,263.22,1
J135,M04,M04,Heat_Treatment,194,196,48:30,49:00,30,Medium,390,263.22,1
J161,M04,M04,Heat_Treatment,197,199,49:15,49:45,30,Medium,285,263.22,1
J449,M04,M04,Heat_Treatment,201,203,50:15,50:45,30,Low,0,263.22,0
J450,M04,M04,Heat_Treatment,205,207,51:15,51:45,30,Medium,225,263.22,1
J322,M04,M04,Heat_Treatment,208,212,52:00,53:00,60,Medium,1050,498.34,1
J022,M04,M04,Heat_Treatment,213,215,53:15,53:45,30,Medium,1350,263.22,1
J105,M04,M04,Heat_Treatment,216,218,54:00,54:30,30,High,1230,263.22,1
J021,M04,M04,Heat_Treatment,219,221,54:45,55:15,30,High,1080,263.22,1
J075,M04,M04,Heat_Treatment,223,225,55:45,56:15,30,Medium,0,263.22,0
J024,M04,M04,Heat_Treatment,227,229,56:45,57:15,30,High,0,263.22,0
J058,M04,M04,Heat_Treatment,230,232,57:30,58:00,30,High,0,263.22,0
J045,M04,M04,Heat_Treatment,234,236,58:30,59:00,30,Medium,1005,263.22,1
J181,M04,M04,Heat_Treatment,238,240,59:30,60:00,30,High,0,263.22,0
J151,M04,M04,Heat_Treatment,242,245,60:30,61:15,45,High,555,380.78,1
J011,M04,M04,Heat_Treatment,246,262,61:30,65:30,240,High,540,1909.06,1
J403,M04,M04,Heat_Treatment,264,268,66:00,67:00,60,Medium,150,498.34,1
J200,M04,M04,Heat_Treatment,270,273,67:30,68:15,45,Low,930,380.78,1
J018,M04,M04,Heat_Treatment,274,278,68:30,69:30,60,Medium,1260,498.34,1
J273,M04,M04,Heat_Treatment,279,283,69:45,70:45,60,High,705,498.34,1
J265,M04,M04,Heat_Treatment,285,289,71:15,72:15,60,Medium,2580,498.34,1
J092,M04,M04,Heat_Treatment,291,295,72:45,73:45,60,Medium,2940,498.34,1
J498,M04,M04,Heat_Treatment,297,301,74:15,75:15,60,High,1455,498.34,1
J429,M04,M04,Heat_Treatment,303,306,75:45,76:30,45,Low,2445,380.78,1
J053,M04,M04,Heat_Treatment,308,311,77:00,77:45,45,Medium,2310,380.78,1
J280,M04,M04,Heat_Treatment,313,316,78:15,79:00,45,Low,690,380.78,1
J189,M04,M04,Heat_Treatment,318,321,79:30,80:15,45,Low,2460,380.78,1
J453,M04,M04,Heat_Treatment,322,326,80:30,81:30,60,Medium,1470,498.34,1
J339,M04,M04,Heat_Treatment,328,332,82:00,83:00,60,Medium,2535,498.34,1
J261,M04,M04,Heat_Treatment,333,337,83:15,84:15,60,High,1545,498.34,1
J380,M04,M04,Heat_Treatment,339,343,84:45,85:45,60,Medium,990,498.34,1
J463,M04,M04,Heat_Treatment,345,349,86:15,87:15,60,Medium,1185,498.34,1
J202,M04,M04,Heat_Treatment,351,357,87:45,89:15,90,Low,1770,733.46,1
J198,M04,M04,Heat_Treatment,359,371,89:45,92:45,180,Low,3870,1438.82,1
J222,M04,M04,Heat_Treatment,372,388,93:00,97:00,240,Low,1770,1909.06,1
J036,M04,M04,Heat_Treatment,389,397,97:15,99:15,120,Medium,3930,968.58,1
J404,M04,M04,Heat_Treatment,399,405,99:45,101:15,90,Medium,3960,733.46,1
J284,M04,M04,Heat_Treatment,406,412,101:30,103:00,90,Medium,3915,733.46,1
J201,M04,M04,Heat_Treatment,414,430,103:30,107:30,240,Medium,2985,1909.06,1
J188,M04,M04,Heat_Treatment,432,440,108:00,110:00,120,Medium,4500,968.58,1
J072,M04,M04,Heat_Treatment,442,452,110:30,113:00,150,Medium,4785,1203.7,1
J473,M04,M04,Heat_Treatment,454,462,113:30,115:30,120,Low,3030,968.58,1
J209,M04,M04,Heat_Treatment,464,476,116:00,119:00,180,Medium,4965,1438.82,1
J486,M04,M04,Heat_Treatment,478,492,119:30,123:00,210,Medium,3750,1673.94,1
J260,M04,M04,Heat_Treatment,494,504,123:30,126:00,150,Medium,3735,1203.7,1
J182,M04,M04,Heat_Treatment,506,518,126:30,129:30,180,Low,5715,1438.82,1
J153,M04,M04,Heat_Treatment,520,534,130:00,133:30,210,Medium,3750,1673.94,1
