Job_ID,Machine_ID,Assigned_Machine,Machine_Type,Start_Slot,End_Slot,Start_Time,End_Time,Duration_min,Priority,Delay_min,Energy_Cost_$,Is_Late
J341,M01,M01,CNC_Machining,131,132,32:45,33:00,15,Medium,0,612.27,0
J490,M01,M01,CNC_Machining,156,172,39:00,43:00,240,Low,0,7338.92,0
J262,M02,M02,Laser_Cutting,131,132,32:45,33:00,15,Low,0,578.1,0
J324,M02,M02,Laser_Cutting,134,136,33:30,34:00,30,Medium,0,1041.93,0
J139,M02,M02,Laser_Cutting,172,176,43:00,44:00,60,Medium,0,1230.99,0
J029,M02,M02,Laser_Cutting,182,185,45:30,46:15,45,Medium,0,805.82,0
J180,M02,M02,Laser_Cutting,187,190,46:45,47:30,45,Low,0,501.92,0
J108,M02,M02,Laser_Cutting,192,195,48:00,48:45,45,Medium,0,501.92,0
J246,M02,M02,Laser_Cutting,197,201,49:15,50:15,60,Medium,1080,656.53,1
J423,M02,M02,Laser_Cutting,202,214,50:30,53:30,180,Low,1260,1893.41,1
J355,M02,M02,Laser_Cutting,216,222,54:00,55:30,90,Low,990,965.75,1
J376,M02,M02,Laser_Cutting,223,233,55:45,58:15,150,Medium,0,1584.19,0
J310,M02,M02,Laser_Cutting,234,248,58:30,62:00,210,High,660,2202.63,1
J378,M02,M02,Laser_Cutting,250,264,62:30,66:00,210,Medium,60,2202.63,1
J096,M03,M03,Welding_Robot,21,22,05:15,05:30,15,Low,0,183.74,0
J281,M03,M03,Welding_Robot,23,24,05:45,06:00,15,Medium,0,183.74,0
J482,M03,M03,Welding_Robot,96,97,24:00,24:15,15,Medium,0,183.74,0
J365,M03,M03,Welding_Robot,99,100,24:45,25:00,15,Low,0,183.74,0
J497,M03,M03,Welding_Robot,102,103,25:30,25:45,15,Low,0,183.74,0
J470,M03,M03,Welding_Robot,105,106,26:15,26:30,15,Low,0,183.74,0
J152,M03,M03,Welding_Robot,118,120,29:30,30:00,30,Medium,0,347.91,0
J232,M03,M03,Welding_Robot,123,125,30:45,31:15,30,Medium,0,652.33,0
J057,M03,M03,Welding_Robot,132,134,33:00,33:30,30,Low,0,1043.73,0
J158,M03,M03,Welding_Robot,136,138,34:00,34:30,30,Medium,0,1043.73,0
J145,M03,M03,Welding_Robot,140,143,35:00,35:45,45,Medium,0,1536.24,0
