Metric,FCFS_Baseline,CP_SAT_Optimized,Improvement
Total Energy Cost (INR),"INR 1,713.88","INR 1,443.78",270.10 INR reduction
Peak-Hour Load (kWh),"1,605.83 kWh","1,141.67 kWh",464.16 kWh reduction
Makespan (min),"1,350.00 min","1,350.00 min",Maintained (no regression)
Makespan (hours),22.50 hours,22.50 hours,Maintained (no regression)
Machine Utilization (%),57.92%,57.92%,Maintained (no regression)
Average Waiting Time (min),141.90 min,241.50 min,99.60 min increase
Total Idle Time (min),"6,690.00 min","6,690.00 min",Maintained (no regression)
Total Delay (min),0.00 min,0.00 min,Maintained (no regression)
Late Jobs,0,0,Maintained (no regression)
On-Time Completion (%),100.00%,100.00%,Maintained (no regression)
Average Machine Load (%),57.92%,57.92%,Maintained (no regression)
