Job_ID,Assigned_Machine,Machine_Type,Start_Slot,End_Slot,Start_Time,End_Time,Duration_min,Arrival_Slot,Deadline_Slot,Delay_min,Is_Late,Energy_Cost_$,Priority
J36,M10,Milling,16,24,04:00,06:00,120.0,16,2976,0,0,14.37,High
J23,M4,Lathe,16,18,04:00,04:30,30.0,16,2992,0,0,3.26,Medium
J1,M2,Lathe,18,23,04:30,05:45,75.0,18,94,0,0,4.95,High
J39,M3,CNC,18,28,04:30,07:00,150.0,18,2998,0,0,8.98,Low
J41,M5,Lathe,19,21,04:45,05:15,30.0,19,3007,0,0,3.52,High
J51,M7,Lathe,19,27,04:45,06:45,120.0,19,3019,0,0,10.36,High
J7,M6,Lathe,19,25,04:45,06:15,90.0,19,3003,0,0,7.29,Medium
J32,M1,Welding,19,22,04:45,05:30,45.0,19,75,0,0,5.43,Medium
J5,M9,Drilling,19,29,04:45,07:15,150.0,19,79,0,0,19.47,Low
J57,M4,Lathe,20,28,05:00,07:00,120.0,19,2987,0,0,13.05,Medium
J64,M8,Lathe,21,30,05:15,07:30,135.0,21,81,0,0,11.61,Medium
J65,M5,Lathe,23,27,05:45,06:45,60.0,20,2984,0,0,7.04,High
J98,M1,Welding,24,26,06:00,06:30,30.0,23,87,0,0,3.62,Medium
J81,M2,Lathe,25,31,06:15,07:45,90.0,21,77,0,0,5.94,High
J93,M10,Milling,26,32,06:30,08:00,90.0,23,3015,0,0,10.78,Medium
J61,M6,Lathe,26,30,06:30,07:30,60.0,23,75,0,0,4.86,High
J63,M1,Welding,28,31,07:00,07:45,45.0,25,77,0,0,5.44,Medium
J97,M7,Lathe,28,33,07:00,08:15,75.0,23,3003,0,0,8.46,High
J34,M3,CNC,29,33,07:15,08:15,60.0,24,2984,0,0,4.97,High
J14,M5,Lathe,29,35,07:15,08:45,90.0,24,3004,0,0,18.63,High
J50,M4,Lathe,30,35,07:30,08:45,75.0,22,94,0,0,15.64,High
J31,M6,Lathe,31,37,07:45,09:15,90.0,25,3001,0,0,16.59,High
J100,M8,Lathe,31,39,07:45,09:45,120.0,26,82,0,0,24.17,Low
J46,M9,Drilling,31,34,07:45,08:30,45.0,26,2990,0,0,11.79,Medium
J83,M1,Welding,33,41,08:15,10:15,120.0,25,85,0,0,36.72,Medium
J20,M2,Lathe,33,35,08:15,08:45,30.0,32,2988,0,0,5.0,High
J40,M3,CNC,34,38,08:30,09:30,60.0,28,2996,0,0,9.11,Medium
J87,M10,Milling,34,42,08:30,10:30,120.0,25,3013,0,0,36.45,Low
J60,M7,Lathe,34,43,08:30,10:45,135.0,29,93,0,0,29.56,Low
J33,M9,Drilling,36,40,09:00,10:00,60.0,26,3010,0,0,19.77,Low
J43,M5,Lathe,37,39,09:15,09:45,30.0,30,90,0,0,8.93,Low
J27,M4,Lathe,37,45,09:15,11:15,120.0,30,3026,0,0,33.14,Medium
J12,M2,Lathe,37,41,09:15,10:15,60.0,32,2980,0,0,10.05,Medium
J2,M6,Lathe,38,41,09:30,10:15,45.0,32,2984,0,0,9.25,High
J95,M3,CNC,39,49,09:45,12:15,150.0,30,2990,0,0,22.81,Low
J52,M8,Lathe,40,48,10:00,12:00,120.0,32,2988,0,0,26.22,High
J6,M5,Lathe,41,46,10:15,11:30,75.0,34,90,0,0,22.34,High
J15,M6,Lathe,42,48,10:30,12:00,90.0,32,3024,0,0,18.52,Medium
J19,M9,Drilling,42,45,10:30,11:15,45.0,31,2987,0,0,14.84,High
J78,M1,Welding,43,52,10:45,13:00,135.0,34,94,0,0,41.3,Low
J75,M2,Lathe,43,48,10:45,12:00,75.0,41,3029,0,0,12.57,High
J37,M7,Lathe,44,54,11:00,13:30,150.0,35,83,0,0,32.82,High
J28,M10,Milling,44,51,11:00,12:45,105.0,32,84,0,0,31.87,High
J86,M9,Drilling,47,53,11:45,13:15,90.0,32,3032,0,0,29.57,High
J25,M4,Lathe,47,49,11:45,12:15,30.0,32,3028,0,0,8.27,Low
J54,M5,Lathe,48,58,12:00,14:30,150.0,35,3019,0,0,44.59,Low
J53,M8,Lathe,49,53,12:15,13:15,60.0,39,3023,0,0,13.06,Medium
J48,M6,Lathe,49,55,12:15,13:45,90.0,34,2986,0,0,18.47,Medium
J94,M2,Lathe,50,55,12:30,13:45,75.0,43,3035,0,0,12.54,Medium
J3,M3,CNC,50,55,12:30,13:45,75.0,35,3019,0,0,11.39,Medium
J71,M4,Lathe,51,57,12:45,14:15,90.0,50,3010,0,0,24.85,Medium
J4,M10,Milling,53,60,13:15,15:00,105.0,41,2981,0,0,31.94,High
J88,M1,Welding,54,61,13:30,15:15,105.0,37,3017,0,0,32.19,Medium
J77,M8,Lathe,54,57,13:30,14:15,45.0,43,91,0,0,9.83,Medium
J73,M7,Lathe,55,62,13:45,15:30,105.0,46,3034,0,0,23.01,Medium
J90,M9,Drilling,55,64,13:45,16:00,135.0,46,3030,0,0,44.5,Medium
J76,M3,CNC,56,60,14:00,15:00,60.0,46,3010,0,0,9.13,High
J49,M6,Lathe,56,60,14:00,15:00,60.0,47,2983,0,0,12.34,High
J66,M2,Lathe,57,62,14:15,15:30,75.0,44,2984,0,0,12.56,Medium
J10,M8,Lathe,58,63,14:30,15:45,75.0,46,3034,0,0,16.38,Medium
J21,M4,Lathe,59,64,14:45,16:00,75.0,51,3047,0,0,20.71,High
J47,M5,Lathe,60,68,15:00,17:00,120.0,41,3017,0,0,35.66,Medium
J45,M6,Lathe,61,71,15:15,17:45,150.0,56,3052,0,0,30.66,Medium
J91,M3,CNC,61,70,15:15,17:30,135.0,51,2991,0,0,20.43,High
J22,M10,Milling,62,65,15:30,16:15,45.0,57,2997,0,0,13.66,Medium
J8,M7,Lathe,63,67,15:45,16:45,60.0,48,3044,0,0,13.11,Medium
J89,M1,Welding,63,70,15:45,17:30,105.0,54,2994,0,0,31.97,Low
J84,M8,Lathe,64,73,16:00,18:15,135.0,50,2990,0,0,29.09,Medium
J44,M2,Lathe,64,71,16:00,17:45,105.0,58,3038,0,0,17.43,Medium
J68,M4,Lathe,66,70,16:30,17:30,60.0,55,3035,0,0,16.42,High
J62,M9,Drilling,66,74,16:30,18:30,120.0,58,3018,0,0,38.67,Low
J80,M10,Milling,67,75,16:45,18:45,120.0,62,3026,0,0,35.35,Medium
J56,M7,Lathe,68,78,17:00,19:30,150.0,54,2990,0,0,31.44,High
J82,M5,Lathe,70,79,17:30,19:45,135.0,59,3023,0,0,38.22,High
J70,M3,CNC,71,78,17:45,19:30,105.0,63,2991,0,0,15.08,Medium
J74,M4,Lathe,72,78,18:00,19:30,90.0,62,3022,0,0,23.29,High
J96,M6,Lathe,72,79,18:00,19:45,105.0,62,3058,0,0,20.32,Medium
J16,M1,Welding,72,79,18:00,19:45,105.0,64,3052,0,0,30.28,High
J99,M2,Lathe,73,77,18:15,19:15,60.0,60,3040,0,0,9.33,Low
J67,M8,Lathe,74,77,18:30,19:15,45.0,58,3050,0,0,9.11,Medium
J13,M9,Drilling,76,86,19:00,21:30,150.0,62,2990,0,0,30.36,Medium
J17,M10,Milling,77,80,19:15,20:00,45.0,68,3056,0,0,13.15,Low
J24,M8,Lathe,78,86,19:30,21:30,120.0,61,3009,0,0,13.92,High
J26,M7,Lathe,79,87,19:45,21:45,120.0,61,2993,0,0,12.07,High
J11,M3,CNC,79,87,19:45,21:45,120.0,66,3066,0,0,8.38,Medium
J29,M2,Lathe,79,83,19:45,20:45,60.0,64,3000,0,0,5.34,Medium
J59,M6,Lathe,80,89,20:00,22:15,135.0,65,3021,0,0,10.73,High
J38,M4,Lathe,80,88,20:00,22:00,120.0,65,3009,0,0,12.81,High
J72,M5,Lathe,81,90,20:15,22:30,135.0,65,3053,0,0,15.54,Medium
J79,M10,Milling,82,85,20:30,21:15,45.0,70,3026,0,0,5.29,High
J92,M2,Lathe,85,88,21:15,22:00,45.0,67,3023,0,0,2.91,Low
J35,M8,Lathe,87,94,21:45,23:30,105.0,69,3021,0,0,8.86,Medium
J18,M7,Lathe,88,93,22:00,23:15,75.0,67,3063,0,0,6.35,Medium
J58,M9,Drilling,88,96,22:00,00:00,120.0,68,3056,0,0,15.28,High
J30,M2,Lathe,90,93,22:30,23:15,45.0,68,3048,0,0,2.91,Medium
J85,M4,Lathe,90,98,22:30,00:30,120.0,68,3036,0,0,13.04,Medium
J9,M6,Lathe,90,97,22:30,00:15,105.0,73,3005,0,0,8.44,High
J69,M5,Lathe,92,99,23:00,00:45,105.0,70,3026,0,0,12.41,Low
J55,M2,Lathe,95,105,23:45,02:15,150.0,74,3062,0,0,10.0,Medium
J42,M6,Lathe,98,106,00:30,02:30,120.0,73,3041,0,0,9.75,High
