Job_ID,Assigned_Machine,Machine_Type,Start_Slot,End_Slot,Start_Time,End_Time,Duration_min,Arrival_Slot,Deadline_Slot,Delay_min,Is_Late,Energy_Cost_$,Priority
J46,M3,CNC,32,37,08:00,09:15,75.0,32,56,0,0,11.37,High
J47,M2,Lathe,32,36,08:00,09:00,60.0,32,56,0,0,10.01,High
J48,M6,Lathe,32,38,08:00,09:30,90.0,32,56,0,0,18.45,High
J49,M8,Lathe,32,37,08:00,09:15,75.0,32,56,0,0,16.32,High
J50,M7,Lathe,32,36,08:00,09:00,60.0,32,56,0,0,13.09,High
J51,M4,Lathe,32,37,08:00,09:15,75.0,32,56,0,0,20.64,High
J52,M5,Lathe,32,36,08:00,09:00,60.0,32,56,0,0,17.79,High
J53,M10,Milling,32,38,08:00,09:30,90.0,32,56,0,0,27.28,High
J54,M1,Welding,32,37,08:00,09:15,75.0,32,56,0,0,22.91,High
J55,M9,Drilling,32,36,08:00,09:00,60.0,32,56,0,0,19.69,High
J59,M7,Lathe,37,42,09:15,10:30,75.0,32,52,0,0,16.44,High
J56,M3,CNC,38,43,09:30,10:45,75.0,32,52,0,0,11.41,High
J57,M2,Lathe,38,42,09:30,10:30,60.0,32,52,0,0,10.05,High
J58,M8,Lathe,38,44,09:30,11:00,90.0,32,52,0,0,19.66,High
J64,M9,Drilling,38,43,09:30,10:45,75.0,32,52,0,0,24.72,High
J62,M5,Lathe,38,43,09:30,10:45,75.0,32,52,0,0,22.33,High
J61,M4,Lathe,39,43,09:45,10:45,60.0,32,52,0,0,16.57,High
J60,M6,Lathe,39,43,09:45,10:45,60.0,32,52,0,0,12.34,High
J63,M1,Welding,39,43,09:45,10:45,60.0,32,52,0,0,18.39,High
J65,M10,Milling,40,44,10:00,11:00,60.0,32,52,0,0,18.24,High
J35,M7,Lathe,43,48,10:45,12:00,75.0,32,68,0,0,16.45,Medium
J31,M2,Lathe,44,50,11:00,12:30,90.0,32,68,0,0,15.06,Medium
J33,M6,Lathe,44,48,11:00,12:00,60.0,32,68,0,0,12.35,Medium
J32,M3,CNC,44,49,11:00,12:15,75.0,32,68,0,0,11.4,Medium
J34,M4,Lathe,45,51,11:15,12:45,90.0,32,68,0,0,24.8,Medium
J36,M5,Lathe,45,49,11:15,12:15,60.0,32,68,0,0,17.86,Medium
J38,M8,Lathe,45,50,11:15,12:30,75.0,32,68,0,0,16.36,Medium
J39,M9,Drilling,45,49,11:15,12:15,60.0,32,68,0,0,19.76,Medium
J41,M1,Welding,45,50,11:15,12:30,75.0,32,68,0,0,22.95,Medium
J37,M10,Milling,46,52,11:30,13:00,90.0,32,68,0,0,27.28,Medium
J40,M6,Lathe,49,55,12:15,13:45,90.0,32,68,0,0,18.47,Medium
J42,M7,Lathe,49,53,12:15,13:15,60.0,32,68,0,0,13.1,Medium
J44,M3,CNC,50,55,12:30,13:45,75.0,32,68,0,0,11.39,Medium
J45,M9,Drilling,51,55,12:45,13:45,60.0,32,68,0,0,19.76,Medium
J1,M5,Lathe,51,57,12:45,14:15,90.0,32,80,0,0,26.79,Low
J2,M8,Lathe,51,56,12:45,14:00,75.0,32,80,0,0,16.38,Low
J43,M2,Lathe,52,58,13:00,14:30,90.0,32,68,0,0,15.08,Medium
J3,M1,Welding,52,56,13:00,14:00,60.0,32,80,0,0,18.41,Low
